District,NULM NPA Amt,NULM NPA No.,NULM O/S Amt,NULM O/S No.,NRLM NPA Amt,NRLM NPA No.,NRLM Irregular A/C Amt,NRLM Irregular A/C No.,NRLM O/S Amt,NRLM O/S No.
Eastern West Khasi Hills,0,0,0,0,42.51,47,36.64,21,2035.47,1041
East Garo Hills,0,0,0,0,194.84,360,31.56,37,967.8,941
East Jaintia Hills,0,0,0,0,0.16,1,0.16,1,1785.25,1092
East Khasi Hills,24.59,23,47.04,39,124.83,180,51.14,21,3937.84,2925
North Garo Hills,0,0,0,0,154.48,303,23.33,37,897.47,925
Ri Bhoi,0,0,0,0,55.43,74,45.4,60,2343.27,1815
South Garo Hills,1.28,1,2.84,5,160.19,253,28.92,39,662.18,745
South West Garo Hills,0,0,0,0,27.77,42,13.91,15,1211.28,1214
South West Khasi Hills,0,0,0,0,3,6,9.7,8,1067.59,747
West Garo Hills,20.75,24,34.53,46,296.18,437,165.83,171,2813.11,2277
West Jaintia Hills,11.36,7,28.53,15,60.38,39,10.97,9,2591.61,1628
West Khasi Hills,0,0,1.11,2,3.75,9,4.88,8,1971.95,1009
