district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,2928.2,1418.66,496.08,125.91,410.81,2325.55
Bankura,8638.79,4744.7,3995.41,88.15,1059.96,9800.07
Birbhum,5156.44,5254.45,3582.59,50.51,1370.78,10207.82
Cooch Behar,7188.5,4281.89,2075.0,95.84,1143.33,7500.21
Dakshin Dinajpur,9250.68,4524.73,3936.37,98.99,883.75,9344.86
Darjeeling,4880.52,1088.05,1953.44,122.22,951.65,3993.14
Hooghly,14120.04,5368.85,4567.2,122.13,1625.11,11561.16
Howrah,15387.28,2574.37,11397.5,100.95,1271.14,15243.01
Jalpaiguri,3976.76,2430.51,2558.81,68.17,843.85,5833.16
Jhargram,4091.65,2786.93,1899.24,74.56,801.52,5487.69
Kalimpong,175.25,319.69,315.43,23.62,106.81,741.93
Kolkata,24801.76,665.06,14546.63,109.04,7534.17,22745.86
Malda,9523.67,6237.69,2644.32,78.53,3246.19,12128.2
Murshidabad,16843.37,8128.64,6246.25,100.47,2390.38,16765.26
Nadia,15633.55,6542.09,6103.12,107.69,1871.57,14516.78
North 24 Parganas,19126.66,4086.16,10758.6,103.76,3588.39,18433.14
Paschim Bardhaman,7159.43,325.2,5951.01,105.6,503.51,6779.72
Paschim Medinipur,14884.76,9930.06,5213.74,86.54,2056.59,17200.39
Purba Bardhaman,11915.77,8627.61,4655.94,79.77,1654.18,14937.73
Purba Medinipur,12185.02,6073.74,5273.22,90.89,2059.59,13406.56
Purulia,7403.53,3684.63,2935.87,93.98,1257.59,7878.1
South 24 Parganas,12845.29,4675.77,7912.34,87.62,2072.49,14660.6
Uttar Dinajpur,4952.7,3491.53,1160.42,85.15,1164.45,5816.39
