district,camps_by_rural_branches_no_of_total_rural_branches,no_of_camps_conducted,no_of_participants_attended,special_camps_by_flcs_target,target,target_specific_camps_by_flcs_target
Alipurduar,51.0,129.0,0.0,0.0,153.0,0.0
Bankura,168.0,45.0,1251.0,6.0,504.0,15.0
Birbhum,212.0,34.0,1938.0,6.0,636.0,15.0
Cooch Behar,136.0,128.0,449.0,12.0,408.0,30.0
Dakshin Dinajpur,79.0,18.0,692.0,12.0,237.0,30.0
Darjeeling,72.0,210.0,823.0,12.0,216.0,30.0
Hooghly,237.0,401.0,748.0,6.0,711.0,15.0
Howrah,115.0,38.0,8733.0,12.0,345.0,30.0
Jalpaiguri,79.0,218.0,100.0,6.0,237.0,15.0
Jhargram,83.0,63.0,199.0,6.0,249.0,15.0
Kalimpong,12.0,5.0,0.0,6.0,36.0,15.0
Kolkata,6.0,18.0,207.0,6.0,18.0,15.0
Malda,189.0,209.0,583.0,12.0,567.0,30.0
Murshidabad,339.0,1103.0,627.0,12.0,1017.0,30.0
Nadia,230.0,15.0,1430.0,6.0,690.0,15.0
North 24 Parganas,313.0,762.0,1666.0,6.0,939.0,15.0
Paschim Bardhaman,100.0,32.0,531.0,6.0,300.0,15.0
Paschim Medinipur,248.0,314.0,107.0,6.0,744.0,15.0
Purba Bardhaman,203.0,49.0,345.0,6.0,609.0,15.0
Purba Medinipur,177.0,491.0,430.0,12.0,531.0,30.0
Purulia,159.0,287.0,387.0,6.0,477.0,15.0
South 24 Parganas,304.0,387.0,562.0,6.0,912.0,15.0
Uttar Dinajpur,78.0,30.0,980.0,6.0,234.0,15.0
