district,disbursement_amt,kishore_no_of_a_cs,sanctioned_amt,shishu_no_of_a_cs,tarun_no_of_a_cs,total_amount_rs_in_crore_no_of_a_cs
Alipurduar,780.16,40846.0,781.55,100900.0,1308.0,143054.0
Bankura,713.94,19651.0,726.65,73732.0,2751.0,96134.0
Birbhum,1504.02,57176.0,1512.07,135172.0,2815.0,195163.0
Cooch Behar,1168.66,68173.0,1175.6,69621.0,3271.0,141065.0
Dakshin Dinajpur,784.0,38178.0,787.17,101903.0,1141.0,141222.0
Howrah,2082.99,93373.0,2094.42,177807.0,3579.0,274759.0
Jalpaiguri,1538.58,70649.0,1549.22,167955.0,3979.0,242583.0
Jhargram,233.38,6331.0,234.54,21312.0,1215.0,28858.0
Kalimpong,40.68,2389.0,40.84,2110.0,73.0,4572.0
Kolkata,2521.88,82222.0,2545.69,177842.0,9343.0,269407.0
Malda,1818.35,91793.0,1826.98,190031.0,2759.0,284583.0
Murshidabad,3933.01,208041.0,3946.63,443542.0,6390.0,657973.0
Nadia,2094.14,90806.0,2116.88,231734.0,5031.0,327571.0
North 24 Parganas,3406.7,157276.0,3438.34,308082.0,9162.0,474520.0
Paschim Medinipur,1923.7,50832.0,1932.8,168693.0,10237.0,229762.0
Purba Bardhaman,1039.51,26780.0,1048.28,106727.0,4307.0,137814.0
Purba Medinipur,2117.44,67495.0,2127.94,183845.0,9531.0,260871.0
South 24 Parganas,2145.84,98697.0,2160.17,217235.0,5468.0,321400.0
Uttar Dinajpur,1394.23,83650.0,1403.38,137226.0,1979.0,222855.0
