district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_no,sanctioned_no,target_2022_23_no
Alipurduar,102.17,2.06,18325.0,146.46,21514.0,13751.0,12512.0
Bankura,87.31,2.08,38089.0,120.68,52571.0,32856.0,31562.0
Birbhum,97.7,2.66,52963.0,102.85,64029.0,49359.0,51497.0
Cooch Behar,105.24,2.05,47364.0,169.39,52533.0,27625.0,27961.0
Dakshin Dinajpur,76.9,1.56,20403.0,134.4,24016.0,15028.0,15181.0
Darjeeling,110.8,2.75,6020.0,127.73,6635.0,5057.0,4713.0
Hooghly,102.14,2.27,38016.0,124.14,44593.0,29481.0,30623.0
Howrah,98.3,2.66,29231.0,116.08,34755.0,25778.0,25181.0
Kalimpong,104.57,3.14,2753.0,105.97,3165.0,2331.0,2598.0
Kolkata,100.0,1.54,1005.0,100.0,2857.0,0.0,0.0
Malda,91.62,1.7,46429.0,153.86,55104.0,31702.0,30177.0
Murshidabad,99.25,1.59,67304.0,178.29,79865.0,39798.0,37750.0
Nadia,88.64,1.66,41273.0,153.08,52553.0,30110.0,26962.0
North 24 Parganas,88.53,1.75,53514.0,137.53,63994.0,38411.0,38911.0
Paschim Bardhaman,87.77,2.44,7986.0,74.64,10157.0,7544.0,10699.0
Paschim Medinipur,100.22,2.47,48395.0,131.94,60183.0,36997.0,36679.0
Purba Bardhaman,69.89,2.83,41275.0,96.01,55622.0,42886.0,42991.0
Purba Medinipur,100.8,3.5,61830.0,136.84,75547.0,44469.0,45183.0
Purulia,71.26,1.52,25458.0,111.56,37203.0,19698.0,22821.0
South 24 Parganas,101.24,2.06,65841.0,164.04,77264.0,31394.0,40136.0
Uttar Dinajpur,105.43,1.68,29932.0,245.08,36018.0,12415.0,12213.0
