district,amount,no_of_active_shgs,no_of_cases_pending,no_of_sponsored_application_in_fy_fy_22_23,shg_loan_disbursed_no,shg_loan_sanctioned_no,target_amount_of_shg_loan_to_be_disbursed_fy_22_24,target_fy_22_23
Alipurduar,2.88,552.0,2.0,154.0,169.0,169.0,2.25,150.0
Bankura,2.99,2425.0,3.0,181.0,175.0,318.0,4.32,289.0
Birbhum,10.99,3612.0,79.0,998.0,644.0,595.0,14.84,978.0
Cooch Behar,3.47,1641.0,30.0,257.0,203.0,202.0,4.35,446.0
Dakshin Dinajpur,3.69,1832.0,3.0,194.0,216.0,317.0,4.86,263.0
Darjeeling,4.97,2306.0,36.0,334.0,291.0,293.0,7.48,498.0
Hooghly,15.62,6041.0,157.0,1109.0,915.0,854.0,18.89,1272.0
Howrah,4.05,1449.0,22.0,250.0,237.0,235.0,8.64,586.0
Jalpaiguri,1.28,1575.0,7.0,221.0,75.0,75.0,3.99,266.0
Jhargram,0.9,486.0,9.0,58.0,53.0,53.0,1.2,80.0
Kalimpong,0.51,178.0,0.0,33.0,30.0,29.0,1.04,70.0
Kolkata,4.22,968.0,202.0,528.0,247.0,244.0,3.0,250.0
Malda,2.0,818.0,43.0,211.0,117.0,118.0,2.9,193.0
Murshidabad,10.57,5547.0,42.0,912.0,619.0,631.0,16.86,1185.0
Nadia,12.48,5842.0,212.0,931.0,731.0,811.0,16.44,1094.0
North 24 Parganas,34.28,15663.0,294.0,2317.0,2008.0,2103.0,45.97,3169.0
Paschim Bardhaman,5.67,2720.0,336.0,800.0,332.0,345.0,12.53,835.0
Paschim Medinipur,6.83,3988.0,87.0,588.0,400.0,430.0,9.76,650.0
Purba Bardhaman,8.77,3487.0,80.0,550.0,514.0,515.0,7.11,543.0
Purba Medinipur,6.04,3468.0,210.0,710.0,354.0,464.0,6.18,420.0
Purulia,1.57,1154.0,13.0,114.0,92.0,93.0,2.63,175.0
South 24 Parganas,7.53,3582.0,64.0,546.0,441.0,497.0,10.17,741.0
Uttar Dinajpur,4.22,2125.0,46.0,303.0,247.0,246.0,4.38,451.0
