district,amount,kcc_disbursement_during_01_04_2022_to_31_03_2023_fresh_renewal_no,kcc_outstanding_as_on_31_03_2023_no,of_achievement_no,target_no
Alipurduar,468.74,31573.0,94402.0,82.01,38500.0
Bankura,961.09,169126.0,174432.0,85.42,198000.0
Birbhum,810.64,89665.0,245080.0,37.36,240000.0
Cooch Behar,1480.39,154180.0,162231.0,81.15,190000.0
Dakshin Dinajpur,586.02,84311.0,107952.0,73.31,115000.0
Darjeeling,123.74,11395.0,24510.0,61.6,18500.0
Hooghly,1465.97,304544.0,329980.0,77.1,395000.0
Howrah,538.38,39460.0,86541.0,41.54,95000.0
Jalpaiguri,881.83,44124.0,96900.0,110.31,40000.0
Jhargram,311.15,31725.0,72664.0,57.68,55000.0
Kalimpong,49.73,3183.0,8610.0,31.83,10000.0
Kolkata,23.49,1015.0,437.0,,0.0
Malda,659.67,62769.0,144897.0,57.06,110000.0
Murshidabad,988.67,62385.0,162166.0,65.67,95000.0
Nadia,1480.42,87548.0,214802.0,79.59,110000.0
Paschim Bardhaman,239.65,14136.0,14714.0,56.54,25000.0
Paschim Medinipur,2186.19,291083.0,380758.0,118.81,245000.0
Purba Bardhaman,2614.44,313123.0,458845.0,111.83,280000.0
Purba Medinipur,1690.03,547833.0,593003.0,73.04,750000.0
Purulia,313.54,29036.0,116348.0,82.96,35000.0
Uttar Dinajpur,1022.32,43759.0,246008.0,79.56,55000.0
