district,amount_in_cr,loan_disbursed_in_adopted_msme_cluster_no,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_sanctioned_in_adopted_msme_cluster_no,loan_sponsored_sancti_oned_in_handloom_cluster_no,loan_sponsored_sancti_oned_in_kvib_cluster_no,proposals_sponsored_g_enerated_in_msme_cluster_no
Alipurduar,2.16,123.0,143.0,148.0,151.0,201.0,178.0,223.0
Bankura,1.25,177.0,0.0,155.0,177.0,0.0,155.0,237.0
Birbhum,1.5,519.0,303.0,175.0,519.0,303.0,175.0,847.0
Cooch Behar,5.23,1567.0,21.0,76.0,2134.0,21.0,101.0,2261.0
Dakshin Dinajpur,0.1,24.0,1.0,6.0,24.0,2.0,8.0,46.0
Darjeeling,0.0,155.0,0.0,0.0,157.0,0.0,0.0,181.0
Hooghly,0.0,94.0,132.0,0.0,94.0,132.0,0.0,94.0
Howrah,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0
Jalpaiguri,0.25,23.0,0.0,1.0,23.0,0.0,1.0,90.0
Jhargram,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0
Kalimpong,0.0,22.0,0.0,0.0,22.0,0.0,0.0,47.0
Kolkata,0.0,46.0,4.0,0.0,48.0,6.0,0.0,313.0
Malda,0.0,35.0,70.0,0.0,42.0,152.0,0.0,106.0
Murshidabad,0.0,62.0,356.0,0.0,63.0,403.0,0.0,79.0
Nadia,11.56,862.0,525.0,50.0,870.0,770.0,54.0,1502.0
North 24 Parganas,10.1,170.0,23.0,51.0,172.0,23.0,56.0,192.0
Paschim Bardhaman,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0
Paschim Medinipur,2.51,3578.0,20.0,65.0,3585.0,21.0,66.0,4614.0
Purba Bardhaman,0.0,205.0,0.0,0.0,207.0,0.0,0.0,254.0
Purba Medinipur,0.0,1069.0,21.0,0.0,1069.0,21.0,0.0,1962.0
Purulia,2.96,146.0,4.0,153.0,179.0,5.0,167.0,232.0
South 24 Parganas,1.28,59.0,0.0,40.0,65.0,0.0,51.0,92.0
Uttar Dinajpur,0.63,2198.0,0.0,18.0,2198.0,0.0,18.0,2209.0
