district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,54.54,363.0,2579.0,3094.0,71.58,5673.0,6281.0,8775.0,608.0
Birbhum,71.67,267.0,1574.0,3981.0,70.08,5555.0,5563.0,7938.0,8.0
Cooch Behar,54.17,170.0,1367.0,1616.0,73.96,2983.0,3017.0,4079.0,34.0
Dakshin Dinajpur,64.41,248.0,1802.0,3261.0,76.1,5063.0,5269.0,6924.0,206.0
Darjeeling,64.76,136.0,941.0,1729.0,74.93,2670.0,2714.0,3622.0,44.0
Hooghly,85.37,318.0,851.0,4966.0,71.98,5817.0,5817.0,8081.0,0.0
Howrah,27.84,697.0,10301.0,3974.0,83.93,14275.0,14941.0,17802.0,666.0
Jalpaiguri,76.76,298.0,1134.0,3745.0,81.78,4879.0,5143.0,6289.0,264.0
Malda,57.88,271.0,2304.0,3166.0,78.21,5470.0,6064.0,7753.0,594.0
Nadia,48.88,259.0,2268.0,2169.0,69.58,4437.0,4511.0,6483.0,74.0
North 24 Parganas,62.89,320.0,2623.0,4446.0,86.41,7069.0,7193.0,8324.0,124.0
Purba Bardhaman,62.74,300.0,2017.0,3396.0,69.42,5413.0,5413.0,7798.0,0.0
Purba Medinipur,60.52,286.0,2391.0,3665.0,73.99,6056.0,6106.0,8252.0,50.0
Purulia,62.93,226.0,1164.0,1976.0,53.69,3140.0,3140.0,5848.0,0.0
South 24 Parganas,74.08,362.0,1632.0,4665.0,68.33,6297.0,6427.0,9406.0,130.0
Uttar Dinajpur,54.53,260.0,2138.0,2564.0,72.9,4702.0,4782.0,6560.0,80.0
