district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,487462.0,48834.0,125944.0,312684.0,252325.0
Bankura,1306525.0,130915.0,271374.0,904236.0,2160961.0
Birbhum,1722638.0,188288.0,471093.0,1063257.0,2260316.0
Cooch Behar,1112739.0,149868.0,268486.0,694385.0,1559996.0
Dakshin Dinajpur,691745.0,72246.0,164508.0,454991.0,1147438.0
Hooghly,1922488.0,235879.0,459282.0,1227327.0,2296366.0
Howrah,1534743.0,186445.0,370637.0,977661.0,1970022.0
Jalpaiguri,1154414.0,142300.0,302185.0,709929.0,1784069.0
Kolkata,2026193.0,173616.0,433650.0,1418927.0,841787.0
Malda,1670203.0,220904.0,392983.0,1056316.0,3154981.0
Murshidabad,2976034.0,369928.0,663839.0,1942267.0,4282473.0
Nadia,1923081.0,221897.0,388455.0,1312729.0,2959014.0
North 24 Parganas,3228484.0,350799.0,699459.0,2178226.0,4218340.0
Paschim Medinipur,2144034.0,245250.0,463191.0,1435593.0,2928382.0
Purba Bardhaman,2513032.0,284981.0,686259.0,1541792.0,3569031.0
Purba Medinipur,1849702.0,285537.0,376680.0,1187485.0,2573010.0
Purulia,867628.0,100117.0,221913.0,545598.0,1945044.0
South 24 Parganas,2271319.0,279780.0,550920.0,1440619.0,4848158.0
Uttar Dinajpur,1022091.0,126833.0,244767.0,650491.0,2555427.0
