district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,total_trained
Bankura,26.0,100.0,101.03
Birbhum,18.0,111.11,100.79
Cooch Behar,16.0,106.25,101.0
Darjeeling,14.0,92.86,108.86
Hooghly,24.0,108.33,100.42
Howrah,29.0,110.34,110.49
Jalpaiguri,18.0,88.89,104.0
Malda,24.0,91.67,101.4
Nadia,25.0,88.0,106.8
North 24 Parganas,28.0,85.71,114.0
Purba Bardhaman,26.0,100.0,100.25
Purba Medinipur,25.0,112.0,101.32
Purulia,21.0,100.0,101.8
South 24 Parganas,25.0,112.0,101.28
Uttar Dinajpur,27.0,88.89,100.16
