district,amount,mm_claimed_no,mm_disbursed_no,returned_no,sanctioned_no,sponsored_in_fy_2022_23_no,target_for_2022_23_no
Alipurduar,441.9,86.0,82.0,147.0,113.0,286.0,145.0
Bankura,352.73,39.0,37.0,100.0,65.0,203.0,138.0
Birbhum,701.85,85.0,76.0,259.0,154.0,502.0,168.0
Cooch Behar,1564.94,120.0,113.0,519.0,163.0,756.0,167.0
Dakshin Dinajpur,260.39,26.0,33.0,62.0,50.0,137.0,137.0
Darjeeling,643.36,59.0,50.0,165.0,88.0,293.0,120.0
Hooghly,875.72,74.0,69.0,259.0,92.0,403.0,133.0
Howrah,923.48,124.0,114.0,332.0,178.0,597.0,120.0
Jalpaiguri,545.16,71.0,67.0,173.0,90.0,300.0,125.0
Kalimpong,156.92,19.0,22.0,53.0,22.0,100.0,100.0
Kolkata,184.35,7.0,15.0,94.0,15.0,142.0,105.0
Malda,953.34,67.0,58.0,252.0,107.0,477.0,112.0
Murshidabad,1738.93,244.0,231.0,446.0,342.0,923.0,289.0
Nadia,652.58,57.0,58.0,148.0,124.0,360.0,134.0
Paschim Bardhaman,29.23,13.0,8.0,9.0,13.0,30.0,121.0
Paschim Medinipur,647.55,57.0,52.0,192.0,89.0,363.0,205.0
Purba Medinipur,1633.82,467.0,460.0,418.0,591.0,1767.0,530.0
Purulia,371.63,38.0,30.0,113.0,90.0,269.0,113.0
Uttar Dinajpur,294.83,27.0,28.0,105.0,50.0,170.0,132.0
