district,amount_rs_cr,disbursement_pending_no,out_of_a_approved_by_bank_b_no,out_of_a_rejected_d,out_of_b_disbursed_by_bank_c_no,pending_at_bank_level_verified_by_pmu_stcb_no,total_application_submitted_to_bank_a
Alipurduar,1.67,4.0,23.0,50.0,19.0,19.0,92.0
Bankura,8.56,5.0,125.0,46.0,120.0,14.0,185.0
Birbhum,5.92,5.0,32.0,32.0,27.0,9.0,73.0
Cooch Behar,8.98,3.0,29.0,85.0,26.0,14.0,128.0
Dakshin Dinajpur,2.1,3.0,12.0,14.0,9.0,5.0,31.0
Darjeeling,14.73,2.0,11.0,29.0,9.0,14.0,54.0
Hooghly,14.36,9.0,137.0,37.0,128.0,22.0,196.0
Howrah,1.83,4.0,17.0,12.0,13.0,2.0,31.0
Jalpaiguri,5.01,2.0,23.0,57.0,21.0,5.0,85.0
Jhargram,2.67,1.0,16.0,14.0,15.0,10.0,40.0
Kalimpong,0.0,0.0,2.0,1.0,2.0,0.0,3.0
Kolkata,0.0,1.0,2.0,1.0,1.0,0.0,3.0
Malda,10.61,2.0,38.0,99.0,36.0,32.0,169.0
Murshidabad,4.33,18.0,80.0,303.0,62.0,25.0,408.0
Nadia,6.42,10.0,37.0,110.0,27.0,10.0,157.0
North 24 Parganas,5.19,11.0,37.0,214.0,26.0,22.0,273.0
Paschim Bardhaman,4.15,2.0,26.0,4.0,24.0,4.0,34.0
Paschim Medinipur,8.81,2.0,76.0,35.0,74.0,18.0,129.0
Purba Bardhaman,5.49,16.0,174.0,73.0,158.0,18.0,265.0
Purba Medinipur,13.91,15.0,40.0,127.0,25.0,41.0,208.0
Purulia,2.9,4.0,19.0,49.0,15.0,11.0,79.0
South 24 Parganas,0.81,2.0,12.0,32.0,10.0,4.0,48.0
Uttar Dinajpur,2.9,7.0,22.0,19.0,15.0,1.0,42.0
