district,aadhaar_seeded,female_a_c,male_a_c,rupaycar_d_issued,rural_a_c,total_a_c,total_deposit,urban_a_c,zero_balance_account
Alipurduar,221949.0,143182.0,109143.0,197366.0,174819.0,252325.0,86.41,77506.0,27620.0
Bankura,1788309.0,1202577.0,958384.0,1211276.0,1891391.0,2160961.0,1097.69,269570.0,115987.0
Birbhum,1852257.0,1300124.0,960192.0,1334644.0,1821282.0,2260316.0,861.27,439034.0,144851.0
Dakshin Dinajpur,942727.0,654650.0,492788.0,651673.0,947586.0,1147438.0,353.65,199852.0,72900.0
Jalpaiguri,1518841.0,1028216.0,755853.0,1334119.0,1170940.0,1784069.0,669.12,613129.0,105559.0
Kolkata,670833.0,465867.0,375920.0,613890.0,6877.0,841787.0,357.73,834910.0,73783.0
Malda,2702637.0,1817354.0,1337627.0,1609243.0,2716170.0,3154981.0,1023.73,438811.0,278301.0
Murshidabad,3591964.0,2439274.0,1843199.0,2815443.0,3128446.0,4282473.0,1403.56,1154027.0,287448.0
Nadia,2401888.0,1704109.0,1254905.0,1869230.0,1998384.0,2959014.0,1141.78,960630.0,203411.0
Paschim Medinipur,2462184.0,1683866.0,1244516.0,1670730.0,2480713.0,2928382.0,1419.91,447669.0,138281.0
Purba Bardhaman,2938675.0,2220303.0,1348728.0,2227757.0,2470328.0,3569031.0,1278.5,1098703.0,175249.0
Purba Medinipur,2167225.0,1441298.0,1131712.0,1521922.0,2355827.0,2573010.0,1321.39,217183.0,109243.0
Uttar Dinajpur,2049582.0,1437496.0,1117931.0,1286425.0,2012204.0,2555427.0,588.83,543223.0,235333.0
