district,ance Rabi (Others) Insur- Number,Rabi insured PMFBY under Amount,under Rabi Farmers No. of PMFBY covered,Kharif Number (Others) Insurance,Kharif insured PMFBY under Amount,ers Kharif No. covered PMFBY of under Farm-,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,0,0,0,0,6.85
East Jaintia Hills,0,0,0,0,0,0,81.21
East Khasi Hills,0,0,0,0,0.27,1,1250.69
North Garo Hills,0,0,0,0,0,0,8.52
Ri Bhoi,0,0,0,0,0.03,26,546.98
South Garo Hills,0,0,0,0,0.02,2,2.75
West Garo Hills,0,0,0,0,0,0,485.98
West Jaintia Hills,0,0,0,0,91.06,78,194.58
West Khasi Hills,0,0,0,0,0,0,238.99
