district,SHG Amt. % NPA,SHG Amt. NPA,SHG No. NPA,SHG Amt. O/S,SHG No. O/S,FY Amount Linked Credit Current,FY Linked No Credit Current,Savings Current Amount FY Linked,FY Linked Current No Savings,During Amount Linked Credit Quarter the,Linked During Credit Quarter No the,ings Quarter During Amount Linked Sav- the,No the Linked Savings Quarter During
East Garo Hills,1.87,2.5,6,133.4,138,298.59,140,88.35,843,180,105,86.25,738
East Jaintia Hills,2.27,18.91,15,832.95,771,133.5,69,0.64,65,109,57,0.23,23
East Khasi Hills,1.31,24.2,29,1841.67,1661,804.42,576,195.05,1032,491.4,338,161.94,788
Ri Bhoi,4.91,70.99,84,1446.75,1486,432.3,179,81.47,487,236.55,89,75.9,344
South Garo Hills,9.26,29.91,59,323.15,379,208.24,225,188.56,786,53,46,188.24,751
West Garo Hills,5.08,61.35,126,1207.88,1228,531.1,339,300.71,1776,393.68,212,298.35,1623
West Khasi Hills,2.79,25.82,43,924,738,185.68,79,3.27,106,131.83,57,2.31,65
