District,State,"Location(Metro, Urban, Su, Rural)",Address,Date of start of functioning,Name of Sponsoring Bank,No. of Literacy Camps undertaken during the quarter as per Rbi guidelines using standardized financial literacy material of Rbi,No. of Persons participated in Literacy Camps during the quarter,"Out of Persons participated, number of persons already having bank A/C at the time of attending the camp","Out of persons participated, no. of persons opened bank A/C after attending the camp"
Dhalai,Tripura,Semi-Urban,LDM(Dhalai),19.10.12,UBI,6,78,75,3
Gomati,Tripura,Semi-Urban,TGB Udaipur Branch,22.09.15,TGB,49,979,874,42
Khowai,Tripura,Semi-Urban,TGB Khowai Branch,17.09.15,TGB,26,521,499,22
North Tripura,Tripura,Semi-Urban,TGB Dharmanagar Branch,05.03.16,TGB,18,547,456,14
Sepahijala,Tripura,Rural,TGB Bishramganj Branch,30.12.15,TGB,30,693,676,17
South Tripura,Tripura,Semi-Urban,TGB Santirbazar Branch,30.12.15,TGB,33,1159,1122,30
Unakoti,Tripura,Semi-Urban,LDM(North ),19.10.12,UBI,22,1208,1074,55
West Tripura,Tripura,Urban,LDM(West),19.10.12,UBI,7,322,322,0
