district,sum_insured_rs_hectare,actuarial_premium_rates_rs_hectare,farmer_premium_rates_rs_hectare,central_premium_rates_rs_hectare,state_premium_rates_rs_hectare,farmer_s_share_of_premium,central_share_of_premium,state_share_of_premium_total_premium
Dhalai,69041,2,2,0,0,1380.82,0,1380.82
Gomati,69041,3.4,2,0.7,0.7,1380.82,483.28,483.28
Khowai,69041,2,2,0,0,1380.82,0,1380.82
North Tripura,69041,2,2,0,0,1380.82,0,1380.82
Sepahijala,69041,3.4,2,0.7,0.7,1380.82,483.28,483.28
South Tripura,69041,2.45,2,0.23,0.23,1380.82,158.79,158.79
Unakoti,69041,2,2,0,0,1380.82,0,0
West Tripura,69041,2,2,0,0,1380.82,0,1380.82
