district,amount,kcc_disbursement_during_01_04_2020_to_30_09_2020_fresh_renewal_no,kcc_outstanding_as_on_30_06_2020_no,of_achievement_no,target_no
Alipurduar,135.12,6606.0,44062.0,16.52,40000.0
Bankura,543.52,62069.0,163051.0,26.99,230000.0
Birbhum,902.13,115259.0,204044.0,54.63,211000.0
Cooch Behar,745.62,26249.0,162430.0,13.12,200000.0
Dakshin Dinajpur,721.03,7591.0,180222.0,6.33,120000.0
Darjeeling,59.38,2828.0,18467.0,14.14,20000.0
Hooghly,853.33,54172.0,182792.0,24.08,225000.0
Howrah,290.17,25201.0,71375.0,25.2,100000.0
Jalpaiguri,426.37,8040.0,88389.0,16.08,50000.0
Jhargram,273.78,20746.0,66674.0,27.66,75000.0
Kalimpong,37.26,2783.0,10512.0,39.76,7000.0
Kolkata,0.0,0.0,0.0,,0.0
Malda,437.26,29776.0,92510.0,13.23,225000.0
Murshidabad,318.39,32281.0,69104.0,10.41,310000.0
Nadia,692.19,38742.0,159203.0,14.9,260000.0
Paschim Bardhaman,49.38,5686.0,18262.0,22.74,25000.0
Paschim Medinipur,1421.54,69050.0,338113.0,14.24,485000.0
Purba Bardhaman,1706.38,64317.0,351635.0,22.18,290000.0
Purba Medinipur,1772.38,327534.0,405158.0,44.56,735000.0
Purulia,329.35,9222.0,95231.0,8.23,112000.0
Uttar Dinajpur,1033.28,30340.0,284312.0,15.56,195000.0
