district,forwarded_to_bank_no,mm,mm_disbursed_no,pending_at_bank_no,pending_for_mm_disb_no,returned_by_bank_no,sanctioned_by_bank_no
Alipurduar,205.0,0.11,30.0,46.0,2.0,97.0,64.0
Bankura,80.0,0.0,24.0,47.0,0.0,28.0,16.0
Birbhum,83.0,0.01,26.0,17.0,1.0,43.0,29.0
Cooch Behar,292.0,0.0,28.0,96.0,0.0,165.0,36.0
Dakshin Dinajpur,72.0,0.0,10.0,21.0,0.0,37.0,15.0
Darjeeling,109.0,0.0,25.0,58.0,0.0,33.0,24.0
Hooghly,10.0,0.0,6.0,1.0,0.0,6.0,8.0
Howrah,55.0,0.0,13.0,24.0,0.0,25.0,4.0
Jalpaiguri,239.0,0.0,6.0,112.0,0.0,110.0,17.0
Jhargram,5.0,0.0,4.0,2.0,0.0,3.0,4.0
Kalimpong,10.0,0.0,0.0,5.0,0.0,5.0,3.0
Kolkata,69.0,0.0,1.0,28.0,0.0,25.0,17.0
Malda,108.0,0.0,20.0,43.0,0.0,45.0,23.0
Murshidabad,371.0,0.0,60.0,136.0,0.0,173.0,40.0
Nadia,76.0,0.0,62.0,27.0,0.0,28.0,45.0
North 24 Parganas,775.0,0.11,66.0,273.0,4.0,447.0,42.0
Paschim Bardhaman,19.0,0.0,4.0,8.0,0.0,9.0,2.0
Paschim Medinipur,83.0,0.0,28.0,39.0,0.0,32.0,17.0
Purulia,92.0,0.06,8.0,50.0,1.0,33.0,14.0
South 24 Parganas,395.0,0.09,36.0,177.0,1.0,179.0,57.0
Uttar Dinajpur,26.0,0.0,2.0,16.0,0.0,10.0,5.0
