district,appl_sponsored,cases_pending,loan_disbursed,loan_sanctioned,sep_g_target_for_fy_20_21,sep_i_target_for_fy_20_21,shg_credit_linkage_active_shgs,target_for_fy_20_21
Alipurduar,0.0,0.0,0.0,0.0,8.0,45.0,539.0,140.0
Bankura,1.0,1.0,0.0,0.0,6.0,49.0,2110.0,325.0
Birbhum,0.0,0.0,0.0,0.0,17.0,222.0,3378.0,890.0
Cooch Behar,0.0,0.0,0.0,0.0,20.0,122.0,1514.0,480.0
Dakshin Dinajpur,0.0,0.0,0.0,0.0,12.0,65.0,1560.0,474.0
Darjeeling,0.0,0.0,0.0,0.0,8.0,80.0,1830.0,265.0
Hooghly,1.0,0.0,0.0,0.0,25.0,322.0,5033.0,1012.0
Howrah,0.0,0.0,0.0,0.0,3.0,50.0,1397.0,270.0
Jalpaiguri,0.0,0.0,0.0,0.0,9.0,110.0,1214.0,370.0
Jhargram,0.0,0.0,0.0,0.0,1.0,20.0,417.0,70.0
Kalimpong,0.0,0.0,0.0,0.0,1.0,15.0,71.0,30.0
Kolkata,0.0,0.0,0.0,0.0,4.0,100.0,1186.0,150.0
Malda,0.0,0.0,0.0,0.0,17.0,88.0,869.0,200.0
Murshidabad,10.0,0.0,5.0,5.0,74.0,290.0,4775.0,1056.0
Nadia,0.0,0.0,0.0,0.0,20.0,244.0,5470.0,1077.0
North 24 Parganas,31.0,0.0,15.0,15.0,70.0,996.0,14115.0,3148.0
Paschim Bardhaman,0.0,0.0,0.0,0.0,2.0,58.0,2426.0,355.0
Paschim Medinipur,11.0,1.0,5.0,5.0,12.0,205.0,3362.0,881.0
Purba Bardhaman,5.0,0.0,1.0,1.0,23.0,156.0,2717.0,484.0
Purba Medinipur,7.0,0.0,2.0,2.0,15.0,85.0,3057.0,565.0
Purulia,7.0,1.0,2.0,2.0,2.0,80.0,1156.0,155.0
South 24 Parganas,5.0,0.0,3.0,3.0,22.0,167.0,2945.0,730.0
Uttar Dinajpur,0.0,0.0,0.0,0.0,29.0,131.0,1741.0,473.0
