district,advance,cd_ratio,cd_ratio_as_on_sept_2019,cd_ratio_as_on_sept_2020_deposit
Alipurduar,2432.77,40.27,40.59,6041.83
Bankura,5314.0,43.45,42.55,12231.0
Birbhum,6301.45,40.19,40.13,15679.32
Cooch Behar,6308.47,79.57,66.93,7927.95
Dakshin Dinajpur,2573.43,58.42,53.13,4404.91
Darjeeling,11122.63,60.9,57.4,18262.65
Hooghly,14397.17,31.46,29.69,45761.57
Howrah,15707.45,40.26,43.65,39018.41
Jalpaiguri,4746.52,58.74,43.06,8080.7
Jhargram,1643.43,40.06,40.87,4102.52
Kalimpong,571.52,37.07,32.28,1541.88
Kolkata,247014.74,76.59,84.56,322532.75
Malda,6497.45,54.15,54.38,11998.84
Murshidabad,8985.98,43.82,55.02,20505.5
Nadia,14932.11,50.92,49.13,29327.12
Paschim Bardhaman,15503.11,40.3,26.11,38468.41
Paschim Medinipur,10461.38,48.4,40.55,21615.05
Purba Bardhaman,11873.75,43.79,45.38,27116.14
Purba Medinipur,11164.39,40.51,42.16,27556.98
Purulia,4335.0,55.29,46.53,7841.0
Uttar Dinajpur,4492.84,59.94,55.88,7495.52
