district,no_of_participants,no_of_rural_branches_in_district,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,target_group_addressed
Alipurduar,0.0,51.0,0.0,0.0,
Bankura,0.0,165.0,0.0,0.0,
Birbhum,0.0,212.0,0.0,0.0,
Cooch Behar,0.0,124.0,0.0,0.0,
Darjeeling,5.0,76.0,1.0,1.0,6.0
Hooghly,0.0,237.0,0.0,0.0,
Howrah,205.0,115.0,0.0,13.0,
Jalpaiguri,14.0,77.0,1.0,1.0,24.0
Jhargram,0.0,82.0,0.0,0.0,
Kalimpong,31.0,14.0,1.0,1.0,14.0
Kolkata,0.0,0.0,0.0,0.0,
Malda,0.0,184.0,0.0,0.0,
Murshidabad,161.0,293.0,10.0,12.0,246.0
Nadia,0.0,212.0,0.0,0.0,
North 24 Parganas,83.0,255.0,5.0,5.0,46.0
Paschim Bardhaman,0.0,106.0,0.0,0.0,
Paschim Medinipur,32.0,249.0,2.0,1.0,4.0
Purba Bardhaman,416.0,301.0,15.0,15.0,1234.0
Purba Medinipur,30.0,177.0,12.0,2.0,24.0
Purulia,22.0,174.0,1.0,1.0,4.0
South 24 Parganas,0.0,304.0,2.0,0.0,56.0
Uttar Dinajpur,87.0,26.0,5.0,5.0,124.0
