district,1_year_and_above,6_months_to_1_year,above_60_days_below_6_months,pending_below_60_days,total_pending
Alipurduar,0.0,2.0,0.0,0.0,2.0
Bankura,14.0,7.0,12.0,1.0,34.0
Birbhum,4.0,6.0,1.0,2.0,13.0
Cooch Behar,4.0,10.0,4.0,1.0,19.0
Dakshin Dinajpur,70.0,1.0,2.0,0.0,73.0
Darjeeling,15.0,19.0,7.0,1.0,42.0
Hooghly,125.0,19.0,23.0,0.0,167.0
Howrah,102.0,56.0,13.0,2.0,173.0
Jalpaiguri,16.0,9.0,1.0,0.0,26.0
Jhargram,3.0,0.0,0.0,0.0,3.0
Kalimpong,0.0,0.0,0.0,0.0,0.0
Kolkata,182.0,62.0,3.0,2.0,249.0
Malda,71.0,13.0,1.0,2.0,87.0
Murshidabad,108.0,78.0,13.0,30.0,229.0
Nadia,41.0,29.0,5.0,0.0,75.0
Paschim Bardhaman,60.0,38.0,17.0,3.0,118.0
Paschim Medinipur,46.0,7.0,1.0,2.0,56.0
Purba Bardhaman,65.0,6.0,6.0,4.0,81.0
Purba Medinipur,108.0,15.0,1.0,2.0,126.0
Purulia,11.0,3.0,0.0,4.0,18.0
Uttar Dinajpur,32.0,1.0,0.0,0.0,33.0
