district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,57.49,1087.0,58.05,13467.0,95.0,14649.0
Bankura,73.12,1812.0,82.66,10889.0,557.0,13258.0
Birbhum,206.82,6482.0,220.64,16495.0,575.0,23552.0
Cooch Behar,123.1,2581.0,128.53,30589.0,329.0,33499.0
Dakshin Dinajpur,67.44,1111.0,72.28,15796.0,214.0,17121.0
Howrah,236.7,5362.0,260.49,43822.0,839.0,50023.0
Jalpaiguri,118.39,2710.0,135.72,26976.0,448.0,30134.0
Jhargram,33.92,985.0,44.18,2583.0,288.0,3856.0
Kalimpong,2.06,33.0,2.06,196.0,15.0,244.0
Kolkata,410.89,10557.0,455.37,24163.0,2816.0,37536.0
Malda,128.94,2406.0,137.1,30884.0,554.0,33844.0
Murshidabad,217.19,4297.0,240.12,52488.0,1009.0,57794.0
Nadia,163.71,3634.0,183.47,31477.0,735.0,35846.0
North 24 Parganas,306.41,8690.0,362.91,43410.0,2037.0,54137.0
Paschim Medinipur,136.19,3608.0,159.72,18328.0,1073.0,23009.0
Purba Bardhaman,119.69,2452.0,125.35,14044.0,738.0,17234.0
Purba Medinipur,144.39,3744.0,154.36,25700.0,693.0,30137.0
South 24 Parganas,159.37,5114.0,189.07,28436.0,1004.0,34554.0
Uttar Dinajpur,97.67,1934.0,104.78,23978.0,257.0,26169.0
