district,amount,average_disbursement_amount,disbursed_no,of_disbursement_against_slbc_target_no,outstanding_no,pending_no,sanctioned_no,target_for_2020_21_no
Alipurduar,239.9,1.01,8370.0,59.36,17136.0,836.0,3935.0,14100.0
Bankura,508.46,1.01,17904.0,61.55,42531.0,2529.0,6774.0,29088.0
Birbhum,813.81,1.55,18979.0,37.24,52939.0,536.0,6763.0,50960.0
Cooch Behar,659.56,0.98,19231.0,81.97,41471.0,2427.0,8082.0,23462.0
Dakshin Dinajpur,219.85,0.82,8191.0,53.98,18209.0,2975.0,2471.0,15175.0
Darjeeling,61.55,1.46,2489.0,83.8,3758.0,47.0,1123.0,2970.0
Hooghly,451.92,1.13,15457.0,70.25,30810.0,2273.0,6583.0,22002.0
Howrah,494.17,1.55,10560.0,47.15,27710.0,1148.0,7288.0,22395.0
Jalpaiguri,408.53,0.86,13705.0,58.34,28388.0,1680.0,5203.0,23493.0
Jhargram,130.31,0.63,6000.0,69.28,12584.0,1230.0,2217.0,8661.0
Kalimpong,33.61,1.45,1157.0,83.96,2186.0,10.0,495.0,1378.0
Malda,574.56,0.74,19990.0,53.9,42119.0,6602.0,5904.0,37084.0
Murshidabad,671.12,0.66,29206.0,76.84,61139.0,3100.0,9893.0,38008.0
Nadia,444.13,0.64,19468.0,80.53,36943.0,2940.0,3935.0,24174.0
North 24 Parganas,569.83,0.63,21617.0,56.88,49305.0,1049.0,11310.0,38005.0
Paschim Bardhaman,103.98,1.39,3104.0,42.29,7175.0,64.0,2769.0,7339.0
Paschim Medinipur,608.96,0.78,23438.0,71.3,43765.0,1126.0,12889.0,32871.0
Purba Bardhaman,733.76,2.02,15122.0,45.77,42573.0,723.0,7891.0,33038.0
Purba Medinipur,973.48,1.11,30855.0,72.9,55287.0,2473.0,13551.0,42328.0
Purulia,242.08,0.56,13202.0,64.49,27315.0,8065.0,7789.0,20472.0
South 24 Parganas,612.21,0.87,23232.0,54.53,53439.0,5364.0,8403.0,42602.0
Uttar Dinajpur,362.27,0.74,13655.0,96.78,27069.0,2454.0,3146.0,14110.0
