district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,53.51,295.0,2094.0,2410.0,72.97,4504.0,5111.0,7004.0,607.0
Birbhum,74.22,224.0,1160.0,3339.0,68.36,4499.0,4507.0,6593.0,8.0
Cooch Behar,50.63,132.0,1096.0,1124.0,71.81,2220.0,2254.0,3139.0,34.0
Darjeeling,62.81,106.0,740.0,1250.0,73.3,1990.0,2032.0,2772.0,42.0
Hooghly,0.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
Howrah,0.0,3.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
Jalpaiguri,77.72,254.0,922.0,3216.0,82.07,4138.0,4359.0,5311.0,221.0
Malda,54.52,219.0,2008.0,2407.0,76.1,4415.0,5009.0,6582.0,594.0
Nadia,43.4,207.0,2006.0,1538.0,66.92,3544.0,3617.0,5405.0,73.0
North 24 Parganas,57.19,260.0,2245.0,2999.0,80.11,5244.0,5368.0,6701.0,124.0
Purba Bardhaman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
Purba Medinipur,52.15,224.0,2219.0,2418.0,72.17,4637.0,4685.0,6492.0,48.0
Purulia,64.96,178.0,849.0,1574.0,52.64,2423.0,2423.0,4603.0,0.0
South 24 Parganas,80.1,302.0,995.0,4005.0,63.89,5000.0,5117.0,8009.0,117.0
Uttar Dinajpur,52.86,208.0,1704.0,1911.0,70.69,3615.0,3687.0,5216.0,72.0
