district,amount,loan_disbursed_in_handloom_cluster_no,loan_disbursed_in_kvib_cluster_no,loan_disbursed_in_msme_cluster_no,loan_sanctioned_in_msme_cluster_no,loan_sponsored_in_handloom_cluster_no,loan_sponsored_in_kvib_cluster_no,proposal_sponsored_in_msme_cluster_no
Alipurduar,0.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0
Bankura,0.07,0.0,15.0,12.0,68.0,0.0,110.0,121.0
Birbhum,0.19,49.0,27.0,39.0,39.0,231.0,89.0,160.0
Cooch Behar,0.0,0.0,0.0,6.0,6.0,89.0,0.0,105.0
Dakshin Dinajpur,0.05,0.0,2.0,7.0,7.0,0.0,2.0,27.0
Darjeeling,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0
Hooghly,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0
Howrah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalpaiguri,0.09,0.0,18.0,1091.0,2162.0,0.0,110.0,2162.0
Jhargram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalimpong,0.0,0.0,0.0,4.0,4.0,0.0,0.0,39.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,0.0,0.0,8.0,34.0,0.0,0.0,58.0
Murshidabad,0.0,197.0,0.0,0.0,0.0,197.0,0.0,24.0
Nadia,0.38,85.0,7.0,0.0,0.0,982.0,30.0,0.0
North 24 Parganas,0.0,0.0,0.0,42.0,60.0,5.0,0.0,86.0
Paschim Bardhaman,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0
Paschim Medinipur,0.2,0.0,9.0,5.0,5.0,0.0,41.0,38.0
Purba Bardhaman,0.0,0.0,0.0,15.0,18.0,0.0,0.0,26.0
Purba Medinipur,0.0,0.0,0.0,69.0,69.0,0.0,0.0,69.0
Purulia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
South 24 Parganas,0.04,0.0,2.0,2.0,2.0,0.0,2.0,22.0
Uttar Dinajpur,0.12,0.0,1.0,33.0,33.0,0.0,1.0,47.0
