District,PMAY O/S Amt,PMAY O/S No.,PMAY Current Year Disbursed Amt,PMAY Current Year Disbursed No.,PMAY Eligible Housing Loan O/S Amt,PMAY Eligible Housing Loan O/S No.,Rural Housing Loan O/S Amt,Rural Housing Loan O/S No.,Housing Loan O/S Amt (NPS),Housing Loan O/S No. (NPS),Housing Loan O/S Amt (PS),Housing Loan O/S No. (PS)
East Garo Hills,12.74,1,0,0,12.74,1,94.52,12,572.77,58,544.28,91
East Jaintia Hills,14.99,4,0,0,10.34,3,1654.54,94,1252.05,25,738.38,84
East Khasi Hills,2097.01,136,25,1,1761.03,119,9694.79,765,66150.03,3770,28393.51,5553
North Garo Hills,0,0,0,0,0,0,648.63,77,392.56,42,628.9,133
Ri Bhoi,451.63,31,0,0,356.65,28,23527.81,1892,17417.29,1303,8357.7,810
South Garo Hills,0,0,0,0,0,0,19.31,3,639.96,38,508.5,70
South West Garo Hills,0,0,0,0,0,0,864.99,71,551.81,44,452.53,46
South West Khasi Hills,0,0,0,0,0,0,599.21,41,400.7,15,280.57,34
West Garo Hills,107.44,15,0,0,100.55,13,1513.27,232,9820.68,818,4979.83,599
West Jaintia Hills,116.63,11,0,0,16.11,7,1040.4,80,2083.72,101,3923.49,408
West Khasi Hills,233.29,30,0,0,225.45,29,179.65,26,372.07,25,1002.62,142
