District,SHG NPA Amt,SHG NPA No.,SHG O/S Amt,SHG O/S No.,Credit Current Amount FY Linked,Credit Linked No. (Current FY),Savings Current Amount FY Linked,Savings Linked No. (Current FY),Credit Linked Amt (Quarter),Credit Linked No. (Quarter),Linked Quarter During the Amount Savings,Savings Linked No. (Quarter)
East Garo Hills,3.75,16,256.99,268,198.8,219,158.18,2172,165,176,115.84,728
East Khasi Hills,1.79,40,1440.19,1535,1077.58,992,301.63,3977,296.92,213,157.59,513
Ri Bhoi,2.91,63,1580.88,1494,379.15,263,158.24,826,192.2,130,41.07,346
West Garo Hills,3.22,121,1288.64,1455,653.05,508,451,3887,217.77,145,304.22,1443
West Khasi Hills,1.26,28,871.14,739,367.26,265,185.84,576,186.82,127,2.22,54
