District,Aadhaar Seeded No.,RuPay Card Activated,RuPay Card Issued No.,Deposits Held in A/c Amt,Zero Balance A/c No.,Total No. PMJDY,Female No,Male No,Urban No,Rural No
East Garo Hills,2418,13956,25107,1055.22,1640,31667,18900,12767,7855,23812
East Jaintia Hills,8443,9864,20905,3758.37,981,41727,25554,16173,1800,39927
East Khasi Hills,27216,49295,79449,13854.51,9679,156087,91617,64470,54714,101375
Eastern West Khasi Hills,3066,6016,14876,3027.78,1060,34882,21051,13831,4544,30338
North Garo Hills,2810,23272,40815,1081.86,828,45775,25939,19836,3772,42003
Ri Bhoi,8473,13649,37335,4088.31,2543,60544,36723,23821,6854,53691
South Garo Hills,1469,8084,12612,600.82,1295,19725,11311,8414,4601,15124
South West Garo Hills,3047,19436,36959,2000.96,1317,48602,26279,22323,3528,45074
South West Khasi Hills,800,9902,12772,1461.88,1524,18453,12017,6436,1418,17035
West Garo Hills,20770,76117,141780,5096.89,8644,177861,102671,75190,19864,157997
West Jaintia Hills,7123,13614,33169,4560.85,2233,65850,43396,22454,14024,51826
West Khasi Hills,4104,5952,19011,2506.04,1487,46786,25744,21042,7565,39221
