district,No Medium,Small Amt,Small No,Amt Micro,No Micro,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Term Amt Loan,Loan Term No,Crop Amt,Crop No
East Garo Hills,0,10.24,5,186.86,591,12.94,11,367.08,1365,16.22,43,762.62,1759
East Jaintia Hills,0,240.79,12,541.7,197,24.22,18,110.17,413,38.17,47,32.17,50
East Khasi Hills,8,1564.08,209,6746.32,2511,270.64,114,1078.15,813,205.44,330,2322.18,4816
Eastern West Khasi Hills,0,0,0,60.85,53,2.37,3,25.79,106,28.41,47,427.15,1042
North Garo Hills,0,0,0,237.02,353,24.49,14,471.66,1709,0.17,1,1309.38,2799
Ri Bhoi,0,45.97,12,837.06,774,121.49,109,408.22,1793,150.72,586,7512.48,13046
South Garo Hills,0,0,0,218.15,206,13.47,15,237.28,1291,33.84,73,274.22,895
South West Garo Hills,0,0,0,236.19,202,7.6,5,1079.34,1912,11.17,42,1248.69,3105
South West Khasi Hills,0,0,0,39.93,32,0,0,24.37,119,4.58,7,133.84,298
West Garo Hills,0,347.55,106,1115.6,1435,90.6,47,577.08,2782,114.34,307,2157.7,5012
West Jaintia Hills,0,525.79,84,1121.91,629,123.67,90,125.44,348,21.26,34,831.62,1617
West Khasi Hills,0,24.7,4,454.82,321,0,0,77.45,455,26.57,44,1830.31,3003
