District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
East Garo Hills,511,0,0,661.86,457,9.53,6,3046.18,4557
East Jaintia Hills,739,4.85,39,6159.72,3294,14.96,15,1889.06,2721
East Khasi Hills,1740,24.93,161,104223.15,43329,2199.07,1542,15825.77,25414
Eastern West Khasi Hills,806,1.38,8,8513,7559,0,0,3749.06,6901
North Garo Hills,400,0.86,5,841.81,745,18.91,12,3311.9,4700
Ri Bhoi,1489,3.33,27,15351.47,14639,740.05,494,19459.62,30374
South Garo Hills,436,0,0,643.14,571,0.53,2,1548.5,2294
South West Garo Hills,585,0,0,1458.58,1575,44.35,25,4237.62,6198
South West Khasi Hills,526,0,0,3358.04,2886,3.89,6,1643.53,2641
West Garo Hills,1603,0,0,9168.81,5743,111.57,60,6356.58,10655
West Jaintia Hills,1427,3.92,34,15347.14,7681,55.01,19,4015.12,4722
West Khasi Hills,755,1,8,8480.97,5455,44.27,6,4306.37,6875
