District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
East Garo Hills,47.97,114,405.2,212,80.3,53,166.92,55
East Jaintia Hills,4.56,11,206.02,68,102.82,27,174.68,30
East Khasi Hills,26.05,534,4837.07,1544,1336.1,302,2385.92,313
Eastern West Khasi Hills,14.83,23,189.25,92,85.6,33,169.05,35
North Garo Hills,27.86,81,465.14,226,86.67,38,142.77,36
Ri Bhoi,24.26,118,811.07,362,310.53,111,597.12,123
South Garo Hills,44.98,119,452.59,205,79.74,31,157.73,32
South West Garo Hills,40.62,98,546.06,243,104,50,177.13,47
South West Khasi Hills,10.78,19,288.81,136,141.61,50,280.08,44
West Garo Hills,26.81,240,2156.67,713,514.22,147,1004.4,172
West Jaintia Hills,19.01,68,759.67,264,489.18,100,701.41,96
West Khasi Hills,33.33,113,424.51,221,131.79,41,241.81,45
