district,total_npa_under_non_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,others_no,amt,total_non_psl_npa_no,amt,total_npa_psl_npa_+_non_psl_npa_no,amt,total_advances_amt,npa_pct,col_16
Bokaro,60,66,49,621,2,11,13229,11069,13340,11768.01,52905,59495.86,930694.24,6.39,
Chatra,15,23,2,20,,,1259,882,1276,924.74,28159,18103.42,156082.15,11.60,
Deoghar,43,14,4,101,3,8,3171,2389,3221,2511.90,34234,21047.67,437200.43,4.81,
Dhanbad,76,88,116,1002,4,57,15980,17182,16176,18328.49,65154,65270.03,1613735.39,4.04,
Dumka,7,18,2,37,1,0,2608,1356,2618,1410.62,27252,13920.16,232002.41,6.00,
East Singhbhum,17,59,189,3026,10,67,16334,27268,16550,30419.74,64562,97950.17,2494467.90,3.93,
Garhwa,26,9,1,26,,,1608,933,1635,968.08,23626,13322.51,175381.08,7.60,
Giridih,7,9,19,197,1,3,5776,3341,5803,3549.83,57337,36496.53,508607.67,7.18,
Godda,11,34,1,,,,1527,1393,1539,1426.43,25068,15787.33,212866.55,7.42,
Gumla,294,156,4,18,,,1082,754,1380,928.72,31800,16854.89,139954.00,12.04,
Hazaribagh,13,19,81,557,4,17,6371,4259,6469,4851.88,50500,45893.46,665902.27,6.89,
Jamtara,,,1,,,,794,859,795,858.62,13016,7014.49,103235.48,6.79,
Khunti,49,19,2,208,1,0,914,793,966,1020.45,14767,8386.70,108044.91,7.76,
Koderma,3,3,8,79,,,3341,1775,3352,1857.16,25654,19872.72,209675.84,9.48,
Latehar,4,12,4,37,,,825,718,833,766.98,10299,6396.28,124381.18,5.14,
Lohardaga,1,3,2,114,,,1076,928,1079,1044.08,20056,13488.43,106181.91,12.70,
Pakur,,,,,,,2945,1164,2945,1163.69,17752,9578.61,145957.03,6.56,
Palamu,38,15,5,66,1,1,4384,3128,4428,3209.77,41347,27496.15,355757.95,7.73,
Ramgarh,38,19,15,205,,,4131,6785,4184,7009.16,25839,28035.60,424314.57,6.61,
Ranchi,50,746,203,3522,14,133,23712,62812,23979,67214.29,94080,206920.25,4666560.08,4.43,
Sahibganj,18,58,12,8,,,2114,1719,2144,1784.78,21688,14348.17,158036.91,9.08,
Seraikela-Kharsawan,1,0,16,472,,,4279,3445,4296,3916.91,30286,24795.63,482030.50,5.14,
Simdega,1,4,1,12,,,1128,606,1130,622.29,13425,7648.14,69884.69,10.94,
West Singhbhum,6,75,44,314,,,3335,3626,3385,4013.97,33832,27461.32,487740.33,5.63,
