district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,75084,67214,38615,30458.72,45.32,47706,37560,24772,11065.10,29.46
Chatra,64099,45996,33060,21078.45,45.83,49241,31700,25138,10350.80,32.65
Deoghar,133089,93933,48815,35420.72,37.71,103213,66350,33673,18053.08,27.21
Dhanbad,80802,79898,34506,31121.91,38.95,34984,38544,16935,10054.52,26.09
Dumka,102447,66346,41293,29901.55,45.07,74720,38378,23352,8955.57,23.33
East Singhbhum,117897,107489,56952,45927.14,42.73,80194,65700,40824,19927.98,30.33
Garhwa,110488,106823,34366,36039.31,33.74,67442,59979,20243,18361.31,30.61
Giridih,116947,88754,63446,39372.80,44.36,60333,42079,40124,15479.32,36.79
Godda,91808,71830,37831,28843.71,40.16,64969,47735,25579,14010.44,29.35
Gumla,44618,38795,17802,12067.83,31.11,37096,26759,14301,6271.33,23.44
Hazaribagh,111143,96528,54034,45161.54,46.79,66615,51370,33652,18060.25,35.16
Jamtara,63583,46045,26741,17350.30,37.68,56504,37882,20711,10015.46,26.44
Khunti,35440,23895,16983,9594.46,40.15,22899,14183,13458,4498.30,31.72
Koderma,41056,29854,20981,12435.98,41.66,22141,13411,12866,3788.01,28.25
Latehar,44092,40450,20444,18862.78,46.63,34855,26368,14148,8951.11,33.95
Lohardaga,27805,24525,14280,9004.53,36.72,22622,18887,11968,6054.53,32.06
Pakur,44380,35039,23410,17731.87,50.61,28846,20555,13060,6358.15,30.93
Palamu,160934,149384,45447,47374.31,31.71,98359,88910,26438,23549.98,26.49
Ramgarh,46452,32639,22486,14982.77,45.90,24113,14646,13318,4794.51,32.74
Ranchi,786238,400409,457415,311711.02,77.85,76057,64543,41095,22276.19,34.51
Sahibganj,69065,60979,27411,22248.79,36.49,49365,39899,17191,8395.84,21.04
Seraikela-Kharsawan,123500,71598,73240,35941.17,50.20,48691,29945,26577,9793.89,32.71
Simdega,22854,17990,11942,6948.00,38.62,17433,10098,9142,2543.12,25.19
West Singhbhum,75609,53586,33587,21151.73,39.47,63166,34519,26318,9537.93,27.63
