district,as_on_31st_december_2024_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiaries_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt,col_21
Bokaro,78202,63134.08,11935,11158.52,4182,9213.41,8980,15911.65,2225,1.45,342,28.46,35640,12175.62,6827,8820.19,116759,94039.19,10.10,
Chatra,72899,54661.29,12676,9526.78,3831,8005.51,6032,4885.67,260,2.12,12,0.75,15771,5153.66,1358,3749.49,82674,60905.06,39.02,
Deoghar,108602,68445.65,22071,16444.21,5934,10422.83,16956,13658.55,634,3.49,43,22.41,28274,10315.73,4246,4435.61,132345,84753.98,19.39,
Dhanbad,89295,60949.50,19108,13678.22,3090,6550.95,24832,31578.72,3943,4.25,409,38.57,58934,26551.72,12811,14172.71,163115,121825.15,7.55,
Dumka,90369,54713.20,26528,21487.44,7303,13711.48,12879,10025.42,828,0.61,29,2.55,42640,14490.54,3249,6204.03,109298,67966.27,29.30,
East Singhbhum,114053,91945.39,33408,26050.64,5640,14282.16,17574,43970.11,1688,7.37,643,73.14,66919,29092.81,6996,13846.67,186312,172479.14,6.91,
Garhwa,92007,70829.13,32728,25435.31,10044,17838.07,14890,10552.28,197,0.02,60,4.48,36386,12701.67,1640,2702.25,105223,80904.12,46.13,
Giridih,144710,96309.34,25830,14898.31,6864,15057.11,20276,16212.63,761,1.62,110,13.06,67332,21895.27,4364,6466.62,182509,120271.06,23.65,
Godda,83426,59416.94,22097,18052.49,4854,10362.84,13682,10807.35,744,0.78,43,4.08,36154,13772.51,4955,9526.46,101399,73844.88,34.69,
Gumla,62717,45850.72,12406,10856.43,3388,8704.71,7065,5777.90,182,2.27,61,7.02,7246,2629.29,970,1175.91,70840,52785.46,37.72,
Hazaribagh,124139,98919.82,21981,17380.82,7335,16714.96,16293,22684.10,1486,2.22,81,41.87,40854,17903.63,5224,10268.70,155221,133373.86,20.03,
Jamtara,55644,38067.62,14979,10686.86,2942,4786.69,9843,6022.60,590,0.84,40,4.91,9825,3761.16,2018,3558.09,61746,42692.71,41.35,
Khunti,40032,26393.25,14445,9198.36,2026,5080.27,2228,2529.47,729,1.05,9,4.26,13127,3740.96,5402,3201.67,46566,32387.43,29.98,
Koderma,53035,40547.65,7939,4991.48,1483,3796.67,6049,5811.61,279,2.84,21,15.59,16570,5510.37,1873,3801.84,67940,50021.63,23.86,
Latehar,38170,36231.93,13551,13330.13,4695,11311.76,6793,5492.42,244,2.71,17,1.96,9360,3410.81,1391,4774.87,45440,44315.79,35.63,
Lohardaga,39817,32465.16,7197,6199.91,1642,3991.81,5070,4609.03,254,0.12,52,13.28,7662,2537.71,604,549.44,48577,39703.92,37.39,
Pakur,48666,41662.70,16422,14010.61,3219,6602.44,12475,15383.07,259,0.33,6,4.48,38097,13387.14,5473,12435.32,70436,56525.45,38.73,
Palamu,140061,109835.43,49675,40053.97,12278,21331.15,20661,15421.33,171,0.69,51,4.70,58564,21502.68,3881,9858.47,165763,124605.27,35.03,
Ramgarh,47129,33577.88,12957,8636.52,2720,6184.84,5558,7692.55,1753,4.34,157,52.00,29148,10521.41,4447,3301.02,65719,53898.81,12.70,
Ranchi,1013037,367467.43,380129,140208.01,12084,31429.75,335229,126811.94,9148,15.47,592,80.23,68821,34736.78,52471,30896.40,1152822,469245.67,10.06,
Sahibganj,60176,47042.16,23479,18933.12,6038,11352.51,11851,12776.20,598,0.43,26,1.50,37034,15499.28,3513,6307.69,81397,62430.65,39.50,
Seraikela-Kharsawan,153182,74971.47,54011,22568.39,4051,10848.37,22209,8938.86,2521,1.42,268,25.04,18445,10024.18,958,1529.01,175403,90032.67,18.68,
Simdega,29327,23159.38,7845,6049.15,2913,6456.88,4246,3567.98,845,0.15,36,2.68,5621,1957.80,500,561.91,35384,28075.46,40.17,
West Singhbhum,81558,61841.20,28415,26080.56,7920,23810.81,10553,12489.66,5490,5.05,420,32.29,21116,7956.12,737,2361.62,104937,90638.29,18.58,
