district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance_a_c,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,602546,270579,386534,486591,873125,63437,7.27,41077.23,2225,1.45,662214,75.84,279438,775421,88.81,
Chatra,684436,21974,335730,370680,706410,43772,6.20,35865.59,260,2.12,475107,67.26,162660,622635,88.14,
Deoghar,879691,260672,532812,607551,1140363,81070,7.11,54947.41,634,3.49,763502,66.95,213192,982660,86.17,
Dhanbad,864594,382676,540095,707175,1247270,76524,6.14,51850.31,3943,4.25,956917,76.72,398712,1129628,90.57,
Dumka,816818,67173,420356,463635,883991,73037,8.26,40090.95,828,0.61,558636,63.19,123118,743456,84.10,
East Singhbhum,554741,332636,401380,485997,887377,63389,7.14,42475.02,1688,7.37,698704,78.74,302958,793155,89.38,
Garhwa,821995,117726,467180,472541,939721,82882,8.82,36069.14,197,0.02,588261,62.60,227551,789205,83.98,
Giridih,1339158,140378,660810,818726,1479536,100203,6.77,73504.33,761,1.62,1011535,68.37,448862,1329995,89.89,
Godda,822531,57929,404850,475610,880460,81537,9.26,32801.50,744,0.78,561090,63.73,188746,734407,83.41,
Gumla,539628,76913,284202,332339,616541,52761,8.56,40058.27,182,2.27,402402,65.27,181004,550809,89.34,
Hazaribagh,817614,192150,461686,548078,1009764,87270,8.64,50963.32,1486,2.22,687559,68.09,275657,901416,89.27,
Jamtara,480931,32867,243548,270250,513798,34912,6.79,21723.86,590,0.84,324189,63.10,91168,451779,87.93,
Khunti,237035,12465,117415,132085,249500,22297,8.94,14141.28,729,1.05,130112,52.15,77044,227609,91.23,
Koderma,366435,42144,175895,232684,408579,24350,5.96,23114.29,279,2.84,319738,78.26,147712,375689,91.95,
Latehar,571753,48436,296089,324100,620189,50579,8.16,26571.29,244,2.71,390476,62.96,114776,532920,85.93,
Lohardaga,296591,16904,142183,171312,313495,33544,10.70,16611.22,254,0.12,195694,62.42,99686,294681,94.00,
Pakur,666190,61924,340600,387514,728114,54381,7.47,20734.42,259,0.33,487422,66.94,115638,643657,88.40,
Palamu,1126961,274990,692130,709821,1401951,134052,9.56,53797.79,171,0.69,970958,69.26,268586,1182222,84.33,
Ramgarh,311811,34051,155125,190737,345862,28674,8.29,20768.47,1753,4.34,254429,73.56,120020,323582,93.56,
Ranchi,1067027,429634,694087,802573,1496660,126594,8.46,76290.55,9148,15.47,907780,60.65,335438,1261260,84.27,
Sahibganj,735547,248548,470305,513790,984095,70409,7.15,30080.45,598,0.43,645768,65.62,126607,848133,86.18,
Simdega,343368,13258,160473,196153,356626,19103,5.36,24699.98,845,0.15,264795,74.25,148541,333679,93.57,
West Singhbhum,689286,124267,378085,435468,813553,50861,6.25,44900.93,5490,5.05,577149,70.94,218917,730904,89.84,
