district,sponsering_bank,target_fy_2024_25_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,performance_during_the_financial_year_2024_25_up_to_the_end_of_dec_2024_number_o,pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained
Bokaro,BANK OF INDIA,45,1130,27,60.00,830,73.45
Chatra,BANK OF INDIA,45,1120,26,57.78,835,74.55
Deoghar,STATE BANK OF INDIA,46,1150,25,54.35,797,69.30
Dhanbad,BANK OF INDIA,45,1130,31,68.89,849,75.13
Dumka,INDIAN BANK,45,1120,26,57.78,791,70.63
Garhwa,STATE BANK OF INDIA,42,1120,26,61.90,807,72.05
Giridih,BANK OF INDIA,44,1150,25,56.82,670,58.26
Godda,INDIAN BANK,42,1050,19,45.24,588,56.00
Gumla,BANK OF INDIA,46,1150,27,58.70,751,65.30
Hazaribagh,INDIAN BANK,45,1120,25,55.56,727,64.91
Jamtara,STATE BANK OF INDIA,42,1050,25,59.52,735,70.00
Khunti,BANK OF INDIA,46,1150,21,45.65,581,50.52
Koderma,BANK OF INDIA,44,1100,27,61.36,763,69.36
Latehar,STATE BANK OF INDIA,42,1050,27,64.29,794,75.62
Lohardaga,BANK OF INDIA,46,1150,25,54.35,706,61.39
Pakur,STATE BANK OF INDIA,42,1050,23,54.76,622,59.24
Palamu,STATE BANK OF INDIA,45,1120,29,64.44,838,74.82
Ramgarh,BANK OF INDIA,35,880,21,60.00,676,76.82
Ranchi,RUDSETICANARA BANK,40,1150,26,65.00,719,62.52
Sahibganj,STATE BANK OF INDIA,42,1050,28,66.67,717,68.29
Simdega,BANK OF INDIA,46,1150,24,52.17,638,55.48
