district,details_of_farmer_total_no_of_farmers_a,out_of_a_total_no_of_operational_holdings_b,out_of_a_total_no_of_pm_kissan_beneficiary_farmers_c,out_of_a_total_no_of_sf_mf_farmers_d,out_of_a_total_no_of_tenant_farmers_e,total_no_of_sf_mf_tenant_farmers_d+e_f,benchmark_parameter_coverage_of_farmers_no_of_agri_loan_accounts_g,out_of_g_total_no_of_kcc_a_cs_no_of_a_cs_h,out_of_g_total_no_of_sf_mf_a_cs_no_of_a_cs_i,out_of_g_total_no_of_allied_activities_a_cs_no_of_a_cs_j,out_of_h_total_no_of_kcc_a_cs_total_no_of_pm_kissan_beneficiary_no_of_a_cs_k
Bokaro,87991,87991,55580,87991,0,87991,85934,55580,58919,12960,55580
Chatra,206045,73043,106825,143214,43698,186912,86541,54028,73541,7841,25647
Deoghar,252280,108000,237100,224171,0,224171,118135,88791,88791,17701,88791
Dhanbad,96360,43524,87652,43524,,43524,,79437,,,
Dumka,120752,108973,104479,116504,0,116504,99318,77519,99365,25728,69139
Garhwa,24800,183398,303525,220000,0,220000,92345,59784,81264,8966,59784
Giridih,154499,139049,154499,123874,0,123874,150345,84088,84088,42866,84088
Godda,140000,86782,109736,86400,36750,123150,138100,88500,90950,1200,78300
Gumla,321272,305690,92807,286440,15400,301840,24244,17893,21781,3215,16993
Hazaribagh,232610,129112,224902,115473,1931,117404,137300,88514,119688,21767,70469
Jamtara,125326,37570,112033,75196,2600,77796,63796,48915,29349,5881,41848
Khunti,75000,75000,66851,66505,6489,72994,56920,51736,49231,5030,45432
Koderma,106000,35750,38426,71550,23850,95400,221608,185480,182616,157335,65146
Latehar,77791,75190,57704,60011,0,60011,41324,31420,33059,413,
Lohardaga,99780,52916,49437,42686,0,42686,57619,49533,49431,8906,41367
Pakur,124500,111000,90058,90058,34442,124500,93210,75103,60212,95311,69879
Palamu,293231,274040,195924,253478,0,253478,151742,83605,130498.12,42807,83605
Ramgarh,69508,69508,54893,0,0,0,34416,26921,,11998,
Ranchi,131615,102479,105830,78455,13687,92142,139188,63491,34655,1977,45471
Sahibganj,130000,95088,41384,110000,20000,130000,66285,41384,30050,16240,15740
Simdega,128544,84593,31040,64342,0,64342,48707,38893,29249,9006,36330
