district,target_fy_2024_25_ac,amt,priority_sector_outstanding_as_on_as_on_31st_december_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_31st_december_2024_ac,amt,non_priority_sector_outstanding_as_on_as_on_31st_december_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_as_on_31st_december_2024_ac,amt
Bokaro,2081,24553,3345,31771,461,1929,3148,29572,4003,66495,1008,15940,4412,77899
Chatra,59,977,160,1269,26,197,163,1331,180,2924,44,593,205,3348
Deoghar,854,10772,1794,12463,163,799,1624,11214,1632,29445,434,7899,1867,36980
Dhanbad,5944,41956,10161,87437,1465,9261,10032,88150,6937,72553,1535,23749,7528,91379
Dumka,180,2551,747,6009,98,647,735,5847,296,6322,73,1364,339,7408
East Singhbhum,6786,75617,9898,76108,1174,6230,9604,75180,13621,221752,2653,51817,14126,255540
Garhwa,156,1410,274,2333,47,196,279,2376,157,2391,62,829,194,3213
Giridih,511,6770,935,7437,127,567,902,7105,838,15609,246,3386,1001,19015
Godda,248,2997,1097,10196,141,1371,1060,10206,286,3719,101,1850,342,5552
Gumla,138,1985,287,2408,42,183,262,2333,221,4457,47,1110,251,5498
Hazaribagh,986,12770,2301,19015,225,894,2174,17679,2136,34496,540,9224,2495,42438
Jamtara,66,894,352,2442,37,247,332,2291,240,2692,35,352,233,2851
Khunti,114,1414,223,2090,47,202,231,2128,204,4131,36,675,207,4457
Koderma,263,2938,620,4097,48,328,562,3982,341,6264,83,1458,392,7725
Latehar,68,1006,182,1914,36,153,184,1916,110,2121,26,486,125,2624
Lohardaga,163,1423,264,2128,17,46,253,1985,210,4169,43,803,232,4680
Pakur,108,1391,404,3691,21,92,386,3362,326,4867,62,1287,344,5905
Palamu,361,4320,724,6353,149,705,751,6287,518,9940,122,2391,585,11718
Ramgarh,720,10561,944,9006,166,599,888,8411,1371,25380,412,6695,1489,30604
Ranchi,8825,150047,12463,146653,1982,13172,12161,141706,18886,400453,4005,89560,20670,459886
Sahibganj,138,1592,474,4258,133,306,530,4118,238,2894,50,839,267,3751
Seraikela-Kharsawan,1019,10118,1346,10050,218,1119,1465,10487,1755,28912,361,6571,1854,33239
Simdega,61,468,121,1064,10,40,121,1026,97,1548,16,175,100,1817
West Singhbhum,347,5961,917,8631,129,785,860,8033,752,12566,163,3366,869,15625
