district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastria_ns_no,amt,jains_no,amt,total_no,amt,col_16
Bokaro,1734,3777.97,19716,30616.88,813,850.34,372,2067.82,2,0.33,157,1874.57,22794,39187.91,
Chatra,2376,2559.08,7401,7010.73,7,5.38,71,169.62,5,39.41,26,94.00,9886,9878.21,
Deoghar,5251,4278.65,21869,17536.70,149,288.79,313,294.45,6,14.36,17,57.02,27605,22469.97,
Dhanbad,1575,4067.19,47433,61547.61,1102,658.29,767,7734.61,1,0.60,76,1293.50,50954,75301.81,
Dumka,5665,6233.59,11065,9549.62,44,64.96,45,65.44,5,15.75,16,5.87,16840,15935.23,
East Singhbhum,4358,10843.85,24905,58393.98,1196,1559.53,3865,25770.28,27,90.32,96,816.28,34447,97474.24,
Garhwa,6008,6446.70,13385,8875.98,22,9.53,26,50.11,,,23,10.02,19464,15392.33,
Giridih,3167,3137.00,40194,33381.09,90,188.22,143,1782.97,4,0.93,116,495.62,43714,38985.83,
Godda,3985,3836.54,16302,16136.70,44,36.48,105,77.84,,,15,5.98,20451,20093.54,
Gumla,7471,8542.54,7511,5959.71,5,5.67,79,312.99,1,0.22,7,28.02,15074,14849.15,
Hazaribagh,3066,5392.10,27672,38035.35,289,356.85,231,1637.35,18,33.28,209,708.24,31485,46163.18,
Jamtara,3353,2474.72,11545,7957.68,7,2.78,22,101.82,,,13,22.47,14940,10559.47,
Khunti,5097,6179.32,2262,2901.83,66,55.51,87,185.77,3,7.08,24,132.45,7539,9461.96,
Koderma,557,1035.13,10338,9532.70,5,10.72,99,690.70,1,0.44,46,310.14,11046,11579.84,
Latehar,3134,4747.68,6104,5637.99,20,21.48,18,59.29,,,16,75.15,9292,10541.59,
Lohardaga,1622,2723.06,13575,11154.30,7,22.21,17,17.65,2,9.70,23,15.34,15246,13942.27,
Pakur,2719,2960.91,35522,28451.03,3,2.81,102,185.48,3,8.06,3,0.57,38352,31608.86,
Palamu,9067,9982.58,18955,14285.10,14,18.69,74,321.66,4,2.18,51,116.18,28165,24726.39,
Ramgarh,993,2727.58,12334,18453.46,118,182.15,471,2091.53,1,0.15,53,704.22,13970,24159.09,
Ranchi,27342,61104.97,344519,164170.93,1730,2046.53,1226,9555.72,6,14.10,326,5111.29,375149,242003.54,
Sahibganj,3559,3692.61,19432,17641.77,62,213.09,98,81.97,1,0.37,13,10.45,23165,21640.26,
Seraikela-Kharsawan,2911,3103.06,21425,9981.17,103,202.13,223,989.49,3,119.00,20,22.47,24685,14417.32,
Simdega,10788,11535.02,2210,2480.59,4,1.23,31,37.67,,,17,138.65,13050,14193.17,
West Singhbhum,6383,6888.19,8041,9702.91,206,516.06,585,2376.60,18,49.51,82,155.23,15315,19688.50,
