district,total_bc,bc_inactive,bc_active_a,male_out_of_a,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities,limited_services_[eg_only_aeps_receipt_and_payment]
Bokaro,6290,1215,5075,4660,415,2737,2338,817,4258,1187,3888
Chatra,6182,1119,5063,4616,447,2268,2795,890,4173,756,4307
Deoghar,6440,940,5500,5158,342,2564,2936,565,4935,830,4670
Dhanbad,7490,1332,6158,5659,499,3540,2618,1536,4622,1557,4601
Dumka,4710,741,3969,3675,294,2526,1443,736,3233,819,3150
East Singhbhum,4357,795,3562,3249,313,2020,1542,733,2829,800,2762
Garhwa,10830,2595,8235,7680,555,3680,4555,1332,6903,739,7496
Giridih,13849,2914,10935,9975,960,7243,3692,1480,9455,1645,9290
Godda,7549,1838,5711,5248,463,3275,2436,1091,4620,702,5009
Gumla,3785,650,3135,2764,371,1794,1341,542,2593,611,2524
Hazaribagh,7690,1739,5951,5236,715,3878,2073,1842,4109,1806,4145
Jamtara,2255,321,1934,1829,105,968,966,253,1681,339,1595
Khunti,1921,354,1567,1321,246,893,674,336,1231,342,1225
Koderma,2699,540,2159,1964,195,1089,1070,281,1878,299,1860
Latehar,4843,1052,3791,3538,253,1573,2218,602,3189,474,3317
Lohardaga,2579,380,2199,1988,211,955,1244,292,1907,290,1909
Pakur,3585,790,2795,2600,195,1667,1128,609,2186,587,2208
Palamu,10440,2295,8145,7492,653,5091,3054,1368,6777,1142,7003
Ramgarh,3519,684,2835,2511,324,1867,968,465,2370,516,2319
Ranchi,8333,1511,6822,6125,697,4317,2505,1207,5615,1520,5302
Sahibganj,5269,1429,3840,3562,278,2761,1079,1029,2811,735,3105
Seraikela-Kharsawan,2661,535,2126,1957,169,950,1176,293,1833,307,1819
Simdega,2506,448,2058,1806,252,1072,986,412,1646,332,1726
West Singhbhum,4527,1102,3425,3037,388,2202,1223,718,2707,552,2873
