district,as_on_31st_december_2024_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances
Bokaro,42009,169482.84,1405,77380.39,316,49651.57,96,259.84,43826,296774.65,31.89
Chatra,8162,28856.50,125,4322.32,40,558.93,1,1.31,8328,33739.06,21.62
Deoghar,20431,86334.61,658,31663.62,110,20124.82,18,26.73,21217,138149.78,31.60
Dhanbad,60721,262622.53,2594,173589.66,576,56844.32,100,2216.58,63991,495273.09,30.69
Dumka,12649,40854.01,372,18105.18,71,4777.70,11,110.90,13103,63847.80,27.52
East Singhbhum,62712,370740.46,5633,255081.87,1980,163785.98,59,565.28,70384,790173.58,31.68
Garhwa,7331,23329.78,151,3783.48,5,275.93,6,32.79,7493,27421.98,15.64
Giridih,32813,101214.51,501,34872.07,114,5432.34,7,35.89,33435,141554.82,27.83
Godda,11757,34827.24,286,6938.90,15,1022.29,53,36.13,12111,42824.57,20.12
Gumla,7186,24282.83,155,4757.13,33,357.07,2,0.04,7376,29397.07,21.00
Hazaribagh,33111,164140.91,1139,43030.56,208,9472.40,14,21.47,34472,216665.34,32.54
Jamtara,6144,13999.82,80,2410.39,18,265.17,5,0.20,6247,16675.58,16.15
Khunti,5212,16552.18,117,3593.19,7,472.40,9,11.59,5345,20629.37,19.09
Koderma,15787,57663.30,475,13684.40,73,3642.76,3,11.11,16338,75001.57,35.77
Latehar,6818,18244.97,77,3039.41,7,248.01,2,30.48,6904,21562.88,17.34
Lohardaga,6159,18683.44,186,4691.94,15,284.77,9,20.86,6369,23681.01,22.30
Pakur,12303,30310.09,213,7106.21,67,1604.17,4,4.45,12587,39024.92,26.74
Palamu,14714,49524.15,375,14866.11,43,2566.40,8,17.32,15140,66973.99,18.83
Ramgarh,19242,78003.43,534,34051.62,210,7402.89,10,5.93,19996,119463.87,28.15
Ranchi,102631,551142.97,4898,315314.68,864,183943.16,115,1600.71,108508,1052001.52,22.54
Sahibganj,11777,25728.90,209,4722.37,29,541.78,1,49.70,12016,31042.75,19.64
Seraikela-Kharsawan,23988,72616.89,928,62608.23,332,41802.97,58,387.56,25306,177415.66,36.81
Simdega,4841,13976.12,86,1143.32,4,16.26,3,0.06,4934,15135.77,21.66
West Singhbhum,16659,48518.68,542,18198.30,96,3119.64,52,65.43,17349,69902.04,14.33
