district,total_applications_recd_1st,2nd,3rd,applications_returned_1st,2nd,3rd,applications_returned_after_sanction_1st,2nd,3rd,applications_pending_1st,2nd,3rd,applications_sanctioned_1st,2nd,3rd,applications_sanctioned_but_pending_for_disb_1st,2nd,3rd,total_applications_disbursed_1st,2nd,3rd,npa_1st,2nd,3rd,disb_pct_out_of_sanction_1st,2nd,3rd
Bokaro,6614,2004,252,917,373,26,361,137,34,125,57,7,5211,1437,185,109,45,6,5102,1392,179,341,9,,98,97,97
Chatra,1141,505,71,179,222,4,152,56,20,22,8,,788,219,47,11,9,3,777,210,44,118,2,,99,96,94
Deoghar,6711,2120,323,872,716,59,388,124,16,97,28,8,5354,1252,240,76,59,5,5278,1193,235,664,53,,99,95,98
Dhanbad,18435,4256,573,3222,1210,99,1285,400,51,255,54,15,13673,2592,408,252,109,10,13421,2483,398,807,10,,98,96,98
Dumka,1343,475,78,10,32,4,17,12,4,17,14,4,1299,417,66,6,24,1,1293,393,65,222,11,,100,94,98
Garhwa,2149,657,74,194,263,18,271,99,7,34,20,2,1650,275,47,23,31,6,1627,244,41,124,2,,99,89,87
Giridih,4949,1275,153,594,172,29,389,72,9,47,17,2,3919,1014,113,80,76,7,3839,938,106,595,29,,98,93,94
Godda,1694,696,133,173,152,7,61,31,2,16,13,,1444,500,124,8,24,5,1436,476,119,119,3,,99,95,96
Gumla,866,323,38,53,40,6,37,40,2,19,6,1,757,237,29,7,9,,750,228,29,71,1,,99,96,100
Hazaribagh,5356,943,114,786,139,7,474,167,26,101,19,5,3995,618,76,103,57,,3892,561,76,260,3,,97,91,100
Jamtara,1157,329,38,155,57,3,106,87,11,37,2,,859,183,24,5,10,,854,173,24,43,4,,99,95,100
Khunti,772,336,48,81,79,16,74,37,3,4,7,1,613,213,28,2,4,1,611,209,27,22,,,100,98,96
Koderma,2634,1009,200,268,161,27,181,94,26,37,4,2,2148,750,145,34,22,1,2114,728,144,335,25,,98,97,99
Latehar,629,297,111,24,9,4,20,19,11,15,9,5,570,260,91,9,4,6,561,256,85,46,2,,98,98,93
Lohardaga,1371,392,91,274,50,31,80,46,3,20,24,6,997,272,51,17,4,4,980,268,47,50,,,98,99,92
Pakur,780,294,41,91,91,5,65,30,5,8,6,1,616,167,30,11,26,4,605,141,26,32,2,1,98,84,87
Palamu,6018,1817,316,192,306,39,444,164,28,71,57,4,5311,1290,245,93,79,7,5218,1211,238,341,6,,98,94,97
Ramgarh,3011,939,155,542,284,29,366,92,19,49,9,5,2054,554,102,43,23,5,2011,531,97,129,2,,98,96,95
Ranchi,18348,5501,797,1100,1401,133,2363,736,82,345,153,46,14540,3211,536,183,253,23,14357,2958,513,599,15,,99,92,96
Sahibganj,2539,718,84,184,131,6,142,100,5,77,42,5,2136,445,68,35,38,3,2101,407,65,198,5,,98,91,96
Seraikela-Kharsawan,3914,1156,136,584,349,26,289,57,4,193,63,3,2848,687,103,36,29,5,2812,658,98,154,3,,99,96,95
Simdega,839,294,56,145,61,8,20,14,1,12,6,4,662,213,43,7,9,1,655,204,42,54,1,,99,96,98
West Singhbhum,2288,713,137,230,175,24,161,65,6,68,11,11,1829,462,96,14,12,,1815,450,96,83,2,,99,97,100
