district,shgs_credit_linkage_target_fy_2024_25_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_31122024_total_shgs_repeat_renewals_enhancement_fy_2022_23,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,9860,18050,25140,8900,14773,28170
Chatra,7300,13360,18610,8135,9996,21562
Deoghar,6280,11490,16000,5277,7841,15523
Dhanbad,7080,12950,18040,6589,11370,19809
Dumka,8090,14810,20620,6573,9919,20818
Garhwa,8200,15020,20910,6218,8801,19437
Giridih,12470,22830,31800,10683,16885,35738
Godda,6450,11800,16430,7183,9723,19446
Gumla,6290,11510,16030,4176,6926,15506
Hazaribagh,11160,20420,28440,11620,18701,34695
Jamtara,3980,7280,10140,3746,4481,9198
Khunti,3870,7080,9860,3290,4904,11851
Koderma,5000,9160,12750,5556,8565,18092
Latehar,5420,9920,13820,5267,6497,17260
Lohardaga,3460,6340,8830,2736,4721,10059
Pakur,5920,10840,15100,6237,7307,18627
Palamu,12390,22680,31590,10067,11395,30585
Ramgarh,5700,10440,14540,5348,8275,17088
Ranchi,14860,27210,37890,12461,17351,44892
Sahibganj,5880,10760,14980,6720,7155,15928
Simdega,4330,7900,11030,3696,4952,11540
West Singhbhum,9230,16890,23520,6999,8778,29919
