district,no_of_cases_pending_as_on_previous_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_filed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_disposed_during_the_quarter_no_of_a_cs,amount_in_lacs,no_of_cases_pending_at_the_end_of_the_quarter_no_of_a_cs,amount_in_lacs
Bokaro,368,12836.89,3,301.04,3,101.22,368,13036.71
Chatra,4,118.25,0,0.00,0,0.00,4,118.25
Deoghar,28,4404.23,1,20.72,0,0.00,29,4424.94
Dhanbad,396,15381.01,19,532.28,2,42.17,413,15871.12
Dumka,7,284.84,1,24.00,0,0.00,8,308.84
East Singhbhum,879,42565.02,20,616.37,6,152.62,893,43028.77
Garhwa,5,96.16,0,0.00,0,0.00,5,96.16
Giridih,37,1632.97,2,0.94,1,22.34,38,1611.57
Godda,12,239.21,1,52.55,0,0.00,13,291.76
Gumla,8,249.15,2,32.73,1,6.69,9,275.19
Hazaribagh,106,3489.63,3,68.65,0,0.00,109,3558.28
Jamtara,1,28.46,0,0.00,0,0.00,1,28.46
Khunti,6,405.02,0,0.00,0,0.00,6,405.02
Koderma,11,145.89,0,0.00,0,0.00,11,145.89
Latehar,0,0.00,0,0.00,0,0.00,0,0.00
Lohardaga,34,1194.72,4,95.67,0,0.00,38,1290.36
Pakur,9,299.81,0,0.00,0,0.00,9,299.81
Palamu,22,446.23,2,58.30,0,0.00,22,457.71
Ramgarh,39,1277.39,4,48.46,2,26.89,41,1269.06
Ranchi,1873,119478.66,138,16719.65,26,385.98,1985,135812.33
Sahibganj,14,293.74,1,20.85,0,0.00,15,314.59
Seraikela-Kharsawan,120,3113.22,18,294.38,9,205.24,129,3202.36
Simdega,2,35.81,0,0.00,0,0.00,1,12.00
West Singhbhum,87,1429.14,30,1005.37,16,178.27,101,2256.24
