district,as_on_31st_december_2024_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance,col_17
Bokaro,83551,61548.58,52741,32099.07,30810,29449.51,19102,15053.89,39,101.74,6987,21790.35,90577,83440.67,8.97,
Chatra,74397,48234.68,55062,30341.86,19335,17892.82,13174,10061.71,4,4.49,4458,12010.67,78859,60249.84,38.60,
Deoghar,117639,75696.29,89226,51173.76,28413,24522.53,16748,15341.63,58,561.90,989,11759.18,118686,88017.38,20.13,
Dhanbad,101818,68152.60,44861,28224.76,56957,39927.84,32932,20256.03,69,1731.92,6287,26334.12,108174,96218.63,5.96,
Dumka,94636,59337.38,67328,30913.88,27308,28423.50,18369,19120.81,9,23.32,675,4150.63,95320,63511.33,27.38,
East Singhbhum,124482,88979.02,84889,49216.66,39593,39762.36,26111,24870.85,43,674.47,9577,42713.83,134102,132367.33,5.31,
Garhwa,96854,76940.51,58682,50987.67,38172,25952.85,24457,22450.63,205,57.51,463,1452.80,97522,78450.82,44.73,
Giridih,149642,90240.49,84473,46333.29,65169,43907.20,43465,25778.49,55,162.81,6927,27480.26,156624,117883.56,23.18,
Godda,92195,65994.22,62146,39210.76,30049,26783.46,22079,14908.94,22,26.09,1011,3072.69,93228,69093.00,32.46,
Gumla,61850,39608.75,53231,27900.29,8619,11708.46,4600,8104.46,1,1.58,3983,11538.84,65834,51149.17,36.55,
Hazaribagh,131651,95994.87,77564,51229.46,54087,44765.41,32994,25323.38,20,127.64,5634,31642.63,137305,127765.14,19.19,
Jamtara,57608,39191.47,50841,30135.86,6767,9055.62,4140,5309.74,5,5.12,830,2093.71,58443,41290.30,40.00,
Khunti,40030,24494.30,27984,15240.09,12046,9254.22,9542,6703.73,5,43.42,1627,5156.80,41662,29694.53,27.48,
Koderma,55213,33684.30,29804,17053.60,25409,16630.70,9015,6756.89,5,12.03,3865,14064.14,59083,47760.47,22.78,
Latehar,40523,40828.73,31374,23825.93,9149,17002.80,5772,10839.63,2,2.04,596,1306.88,41121,42137.65,33.88,
Lohardaga,38773,26238.13,33530,20281.94,5243,5956.19,2821,3986.31,5,50.69,3098,10107.45,41876,36396.26,34.28,
Pakur,49354,40172.64,30537,17755.19,18817,22417.45,14363,11901.21,7,123.85,1811,3943.76,51172,44240.25,30.31,
Palamu,146745,114458.10,83578,66731.36,63167,47726.75,43829,31524.32,22,43.30,1156,3418.06,147923,117919.46,33.15,
Ramgarh,51257,32969.04,26806,17905.87,24451,15063.17,19128,10651.86,21,72.76,3752,12140.42,55030,45182.22,10.65,
Ranchi,1081340,448363.67,209200,91455.06,872140,356908.61,144404,148255.90,175,5497.30,8025,131001.27,1089540,584862.23,12.53,
Sahibganj,65771,51128.27,42663,28931.51,23108,22196.76,17171,14142.78,4,40.95,1156,2113.34,66931,53282.55,33.72,
Seraikela-Kharsawan,154836,72205.59,68088,36992.57,86748,35213.02,21549,12892.41,22,506.97,4121,15926.93,158979,88639.48,18.39,
Simdega,29136,18987.11,22455,10593.15,6681,8393.96,3831,6311.01,21,15.35,2721,6398.79,31878,25401.25,36.35,
West Singhbhum,86212,68085.99,71393,47450.53,14819,20635.46,8116,14515.00,105,178.58,3428,10256.79,89745,78521.36,16.10,
