district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt,col_7
Bokaro,198234,791473,109866,539739.22,68.19,
Chatra,89620,122629,47822,73646.71,60.06,
Deoghar,198476,396751,85641,240952.92,60.73,
Dhanbad,295353,1184484,153181,845307.54,71.37,
Dumka,143480,208117,64611,118835.62,57.10,
East Singhbhum,421578,2057319,258454,1627069.52,79.09,
Garhwa,138800,178298,49004,85887.12,48.17,
Giridih,214147,445358,113117,288448.04,64.77,
Godda,124862,176152,57888,105173.49,59.71,
Gumla,66630,110348,30232,60923.99,55.21,
Hazaribagh,206708,477947,113341,323947.44,67.78,
Jamtara,81484,93062,36652,49947.04,53.67,
Khunti,51698,77699,25287,47222.07,60.78,
Koderma,84196,168862,42906,108527.81,64.27,
Latehar,66981,99054,31482,60632.88,61.21,
Lohardaga,48277,85254,25395,50378.90,59.09,
Pakur,96632,120015,51427,76319.85,63.59,
Palamu,223942,323744,77072,164879.37,50.93,
Ramgarh,100965,302314,56453,223310.70,73.87,
Ranchi,1213093,4175990,707935,3265183.84,78.19,
Sahibganj,108009,135093,47749,73548.52,54.44,
Seraikela-Kharsawan,188377,392013,107077,333668.47,85.12,
Simdega,36926,53778,20299,32699.87,60.81,
West Singhbhum,125547,454247,60086,424320.76,93.41,
