district,no_of_br,rural_deposit,as_on_31st_december_2024_[amount_in_lakh]_advances,cd_ratio,semi_urban_deposit,advances,cd_ratio,urban_deposit,advances,cd_ratio,total_deposit,core_advances,cd_ratio,total_place_of_utilization,total_advances,cd_ratio_incl_pou,col_18
Bokaro,220,442487,133074,30.07,508878,157269,30.91,1484232,640351,43.14,2435596,930694,38.21,525734.38,1456429,59.80,
Chatra,68,212760,80165,37.68,275426,70191,25.48,1103,5726,518.97,489289,156082,31.90,31.91,156114,31.91,
Deoghar,145,282379,107150,37.95,112596,46479,41.28,704868,283572,40.23,1099843,437200,39.75,-678.06,436522,39.69,
Dhanbad,307,521108,127145,24.40,438543,201923,46.04,3336383,1284667,38.50,4296034,1613735,37.56,161363.76,1775099,41.32,
Dumka,119,273118,95952,35.13,335896,132558,39.46,5742,3493,60.83,614756,232002,37.74,20.55,232023,37.74,
East Singhbhum,347,332841,153263,46.05,632077,204499,32.35,3337921,2136706,64.01,4302839,2494468,57.97,674850.80,3169319,73.66,
Garhwa,99,170201,77269,45.40,220936,95855,43.39,1317,2257,171.41,392453,175381,44.69,27302.77,202684,51.65,
Giridih,181,655447,213758,32.61,56101,13086,23.33,402036,281763,70.08,1113585,508608,45.67,5297.61,513905,46.15,
Godda,102,282169,110236,39.07,290377,99875,34.40,1151,2755,239.41,573697,212867,37.10,69033.80,281900,49.14,
Gumla,83,172815,52989,30.66,248445,83325,33.54,2768,3640,131.49,424028,139954,33.01,21.40,139975,33.01,
Hazaribagh,181,445646,170063,38.16,180728,103388,57.21,841060,392452,46.66,1467433,665902,45.38,4916.93,670819,45.71,
Jamtara,68,144252,48348,33.52,190965,53474,28.00,,1414,,335217,103235,30.80,2.03,103238,30.80,
Khunti,52,115072,48333,42.00,134452,55733,41.45,4298,3979,92.57,253822,108045,42.57,42.11,108087,42.58,
Koderma,65,168139,56228,33.44,316238,143779,45.47,2565,9669,376.92,486942,209676,43.06,3832.84,213509,43.85,
Latehar,56,120967,52978,43.80,166351,68118,40.95,,3285,,287318,124381,43.29,2.24,124383,43.29,
Lohardaga,46,71530,38880,54.35,156545,65207,41.65,1988,2095,105.43,230062,106182,46.15,,106182,46.15,
Pakur,61,112878,58129,51.50,187691,85223,45.41,,2605,,300569,145957,48.56,9.02,145966,48.56,
Palamu,138,304378,135052,44.37,591654,212883,35.98,,7823,,896032,355758,39.70,22629.16,378387,42.23,
Ramgarh,115,248312,93783,37.77,744342,314758,42.29,460,15774,3429.46,993114,424315,42.73,45167.61,469482,47.27,
Ranchi,510,702778,514523,73.21,349850,145949,41.72,8412376,4006088,47.62,9465005,4666560,49.30,85440.16,4752000,50.21,
Sahibganj,78,129986,55203,42.47,267531,100255,37.47,,2579,,397517,158037,39.76,200.73,158238,39.81,
Seraikela-Kharsawan,127,336634,190680,56.64,101198,39910,39.44,273767,251440,91.84,711599,482030,67.74,6335.39,488366,68.63,
Simdega,53,105154,29197,27.77,121068,38839,32.08,,1850,,226223,69885,30.89,98.01,69983,30.94,
West Singhbhum,136,232182,95217,41.01,3459710,346277,10.01,104869,46246,44.10,3796760,487740,12.85,400112.31,887853,23.38,
