district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,26068,308377,13157.00,108684,516.00,61363,135.00,37680,13.00,235,13821.00,207962,67.44
Chatra,4934,29556,3074.00,15875,38.00,3162,13.00,778,,,3125.00,19814,67.04
Deoghar,17263,158608,8940.00,63766,300.00,26905,63.00,23930,3.00,2,9306.00,114602,72.26
Dhanbad,44938,526699,20420.00,167212,1073.00,142661,326.00,49118,8.00,64,21827.00,359054,68.17
Dumka,9723,79126,4757.00,23324,186.00,17418,33.00,2787,3.00,170,4979.00,43699,55.23
East Singhbhum,43605,901783,20559.00,231094,2371.00,235013,637.00,152908,5.00,802,23572.00,619816,68.73
Garhwa,5656,29858,2634.00,15394,75.00,3711,4.00,247,1.00,20,2714.00,19371,64.88
Giridih,24837,160097,12947.00,74406,268.00,31179,51.00,4930,1.00,35,13267.00,110550,69.05
Godda,10010,47371,5126.00,24350,142.00,7109,4.00,1049,2.00,12,5274.00,32519,68.65
Gumla,3982,29256,2173.00,14758,73.00,4808,5.00,244,,,2251.00,19809,67.71
Hazaribagh,21264,176442,12271.00,81463,384.00,36033,96.00,8533,4.00,11,12755.00,126041,71.43
Jamtara,4725,17535,2526.00,9542,46.00,1778,8.00,288,,,2580.00,11609,66.20
Khunti,3344,19762,1749.00,10159,46.00,3660,3.00,254,1.00,5,1799.00,14078,71.24
Koderma,11766,65848,6156.00,34776,134.00,10098,40.00,1985,1.00,3,6331.00,46862,71.17
Latehar,5061,21295,3925.00,14029,34.00,2995,4.00,80,1.00,50,3964.00,17154,80.56
Lohardaga,3816,25504,2180.00,13249,75.00,3635,4.00,770,,,2259.00,17654,69.22
Pakur,10263,38424,6252.00,20623,109.00,5762,30.00,1462,1.00,0,6392.00,27846,72.47
Palamu,10371,71501,5041.00,32283,171.00,13289,23.00,1878,1.00,0,5236.00,47450,66.36
Ramgarh,11125,121257,6385.00,47701,241.00,29659,104.00,6585,2.00,2,6732.00,83946,69.23
Ranchi,91899,1174466,37104.00,361519,2192.00,279474,501.00,158978,15.00,1543,39812.00,801513,68.24
Sahibganj,9081,25405,4802.00,15436,79.00,2778,19.00,597,1.00,50,4901.00,18861,74.24
Seraikela-Kharsawan,20572,196523,7265.00,45684,467.00,53149,196.00,41189,5.00,425,7933.00,140446,71.47
Simdega,2795,14468,1590.00,9104,31.00,1129,3.00,15,1.00,0,1625.00,10249,70.84
West Singhbhum,9913,60840,5275.00,27244,191.00,12367,40.00,2656,5.00,29,5511.00,42296,69.52
