district,branches_as_on_31122024_rural,semi_urban,urban,total,atms_as_on_31122024_rural,semi_urban,urban,total,as_on_30092024_branch,atms,difference_branch,atms
Bokaro,78,52,90,220,30,55,159,244,217,246,3,-2
Chatra,45,23,0,68,12,22,0,34,66,33,2,1
Deoghar,71,28,46,145,10,21,105,136,143,134,2,2
Dhanbad,77,56,174,307,32,62,312,406,303,396,4,10
Dumka,82,36,1,119,18,59,4,81,117,80,2,1
East Singhbhum,80,71,196,347,20,87,421,528,346,521,1,7
Garhwa,65,34,0,99,11,50,1,62,98,62,1,0
Giridih,133,9,39,181,40,18,71,129,177,128,4,1
Godda,73,29,0,102,19,47,1,67,103,62,-1,5
Gumla,52,28,3,83,6,37,3,46,83,46,0,0
Hazaribagh,95,30,56,181,29,41,130,200,177,206,4,-6
Jamtara,40,28,0,68,8,35,2,45,68,44,0,1
Khunti,30,22,0,52,10,20,10,40,52,41,0,-1
Koderma,32,33,0,65,6,50,0,56,63,55,2,1
Latehar,28,28,0,56,10,32,0,42,54,41,2,1
Lohardaga,24,22,0,46,4,26,1,31,46,32,0,-1
Pakur,38,23,0,61,9,26,0,35,61,32,0,3
Palamu,83,55,0,138,13,95,1,109,136,107,2,2
Ramgarh,47,67,1,115,28,93,7,128,115,128,0,0
Ranchi,149,46,315,510,66,49,620,735,502,740,8,-5
Sahibganj,42,36,0,78,10,31,3,44,78,43,0,1
Seraikela-Kharsawan,81,20,26,127,30,17,34,81,126,76,1,5
Simdega,31,22,0,53,4,15,4,23,52,24,1,-1
West Singhbhum,73,63,0,136,24,70,13,107,136,101,0,6
