district,tar_q1,tar_q2,tar_q3,tar_q4,target,total_app_recd,sanc_app,sanc_pct,app_disb,amt_dis_in_cr,disbpct_of_target,pending_for_disb
Bokaro,45,69,69,107,290,123,55,18.97,34,4.24,11.72,21
Chatra,17,28,28,38,111,143,62,55.86,20,2.73,18.02,42
Deoghar,30,51,51,71,203,75,48,23.65,29,5.33,14.29,19
Dhanbad,57,96,96,134,383,148,77,20.10,42,5.00,10.97,35
Dumka,24,41,41,57,163,102,61,37.42,32,4.15,19.63,29
Garhwa,20,34,34,47,135,76,34,25.19,21,5.52,15.56,13
Giridih,36,59,59,83,237,97,57,24.05,35,5.16,14.77,22
Godda,23,38,38,51,150,218,104,69.33,56,5.02,37.33,48
Gumla,17,28,28,38,111,73,43,38.74,35,2.25,31.53,8
Hazaribagh,37,62,62,86,247,202,95,38.46,43,6.71,17.41,52
Jamtara,16,26,26,36,104,73,24,23.08,19,1.35,18.27,5
Khunti,12,20,20,27,79,41,17,21.52,4,1.36,5.06,13
Koderma,15,25,25,35,100,65,11,11.00,4,2.67,4.00,7
Latehar,12,21,21,28,82,83,49,59.76,30,3.53,36.59,19
Lohardaga,12,20,20,29,81,51,34,41.98,15,2.72,18.52,19
Pakur,14,23,23,32,92,49,11,11.96,2,0.99,2.17,9
Palamu,29,48,48,65,190,105,34,17.89,20,4.34,10.53,14
Ramgarh,25,41,41,58,165,74,34,20.61,21,3.33,12.73,13
Ranchi,94,157,157,220,628,158,93,14.81,68,17.19,10.83,25
Sahibganj,17,29,29,40,115,112,65,56.52,25,3.12,21.74,40
Seraikela-Kharsawan,26,44,44,60,174,95,44,25.29,26,4.02,14.94,18
Simdega,12,20,20,29,81,66,44,54.32,32,1.39,39.51,12
West Singhbhum,27,44,44,62,177,114,39,22.03,18,1.77,10.17,21
