district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,78,355,,,0.00,1498,2850,1320,2359.97,82.82,895,5190,461,1928.63,37.16
Chatra,35,156,,,0.00,78,175,58,103.09,58.81,26,197,26,197.21,100.21
Deoghar,64,290,,,0.00,469,976,404,730.06,74.77,380,1742,163,799.38,45.88
Dhanbad,72,326,,,0.00,2281,3847,2281,3662.72,95.20,3937,16610,1465,9260.61,55.75
Dumka,41,188,,,0.00,80,182,66,117.30,64.40,108,907,98,646.61,71.29
East Singhbhum,78,353,,,0.00,2843,7017,2413,5640.58,80.39,3140,11780,1174,6229.64,52.88
Garhwa,32,143,,,0.00,121,241,100,146.35,60.77,104,488,47,195.59,40.04
Giridih,69,310,,,0.00,381,680,320,504.54,74.18,245,1152,127,566.88,49.20
Godda,34,152,,,0.00,160,279,144,208.97,75.03,140,1433,141,1371.04,95.68
Gumla,29,129,,,0.00,314,525,93,221.40,42.15,63,414,42,182.93,44.19
Hazaribagh,64,290,,,0.00,571,1163,500,952.78,81.90,386,2245,225,893.93,39.83
Jamtara,22,100,,,0.00,328,408,76,126.56,31.02,22,218,37,247.00,113.35
Khunti,21,97,,,0.00,69,147,57,107.71,73.26,54,362,47,202.33,55.93
Koderma,32,147,,,0.00,247,421,207,308.98,73.39,128,714,48,327.52,45.90
Latehar,27,125,,,0.00,119,183,79,185.46,101.43,45,343,36,152.62,44.52
Lohardaga,21,97,,,0.00,67,126,66,114.64,90.77,87,214,17,45.66,21.31
Pakur,25,113,,,0.00,89,128,41,66.00,51.65,36,287,21,91.95,32.09
Palamu,41,183,,,0.00,283,553,266,476.99,86.33,211,1423,149,705.05,49.54
Ramgarh,50,228,,,0.00,390,778,337,639.79,82.26,211,1541,166,599.44,38.90
Ranchi,113,510,,,0.00,4789,11188,3761,9279.25,82.94,3810,28149,1982,13172.22,46.79
Sahibganj,35,156,,,0.00,279,422,102,165.56,39.20,70,529,133,305.87,57.83
Seraikela-Kharsawan,47,213,,,0.00,1006,1445,801,1128.55,78.10,546,2440,218,1119.36,45.87
Simdega,20,93,,,0.00,39,64,36,89.31,139.18,33,100,10,39.87,39.87
West Singhbhum,53,245,,,0.00,570,1202,337,677.00,56.33,152,1522,129,784.54,51.53
