district,pmjjby_fi_plan_portal_data_no_of_enrollments,no_of_eligible_cases,fresh_enrollment_since_1st_june_of_current_fy,pmsby_no_of_enrollments,no_of_eligible_cases,fresh_enrollment_since_1st_june_of_current_fy,apy_enrollments_protean_portal_data_target_for_fy_2024_25,total_subscriber_from_01042024_to_31122024,total_subscribers_since_inception
Bokaro,328380,1578572,32524,756749,2026375,59373,17990,15223,111476
Chatra,240916,766058,22610,423810,925097,35736,5020,12849,72966
Deoghar,351687,1287266,43093,747840,1624468,77426,11120,18842,142771
Dhanbad,404006,2106808,41868,928756,2705824,77852,22585,15216,128012
Dumka,337326,1114232,40790,704976,1497589,63246,9705,15123,104349
Garhwa,229240,1070985,41916,446739,1294965,70894,6880,13138,70509
Giridih,435411,1718908,40832,825780,2115068,76992,13750,25413,153564
Godda,305300,1074705,44184,675119,1498017,66032,8800,18654,118225
Gumla,196753,655085,21625,405211,859284,41623,5690,11969,72719
Hazaribagh,393463,1592153,39381,805596,2004428,64833,14700,18088,130006
Jamtara,170888,610716,21865,355566,777601,33510,5605,9064,64358
Khunti,84236,323440,10029,174865,400629,19739,3230,5573,35146
Koderma,135606,587950,13014,298730,727936,23685,5080,7030,45227
Latehar,159699,628666,20549,324353,766531,44279,3695,9638,54790
Lohardaga,94401,358934,8393,200715,447237,17101,3765,6192,37601
Pakur,204690,636829,27611,443668,797562,48243,4820,18468,103023
Palamu,390873,1710060,70047,770718,2105439,99464,10915,21209,109876
Ramgarh,169245,793501,15118,405797,997343,29271,8435,5672,48876
Ranchi,596714,3271337,56080,1303809,4031152,119030,38895,26966,238929
Sahibganj,273451,895036,31532,546677,1136332,52886,6575,17853,107451
Seraikela-Kharsawan,159975,724870,16275,359265,914445,25533,8965,8574,64283
Simdega,114417,351235,7935,236711,461947,15825,3675,5233,33473
West Singhbhum,274838,1017277,25284,530047,1281364,43487,11620,14653,93596
