district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,100317,142345.24,35640,12175.62,30871,41912.76,
Chatra,34919,31490.45,15771,5153.66,11438,8957.42,
Deoghar,64460,66470.66,28274,10315.73,27209,26929.25,
Dhanbad,173094,212034.92,58934,26551.72,54864,67354.34,
Dumka,58625,42037.18,42640,14490.54,23987,17604.17,
East Singhbhum,199276,318822.90,66919,29092.81,75884,102362.93,
Garhwa,56014,31551.11,36386,12701.67,16079,12448.32,
Giridih,124690,86214.21,67332,21895.27,39780,28997.86,
Godda,54914,38836.49,36154,13772.51,20631,17268.53,
Gumla,26267,32082.47,7246,2629.29,8512,9169.09,
Hazaribagh,103210,109801.84,40854,17903.63,33211,35257.64,
Jamtara,16487,14795.56,9825,3761.16,7485,5455.60,
Khunti,23513,22348.11,13127,3740.96,6028,7148.29,
Koderma,49616,46024.11,16570,5510.37,14215,13209.97,
Latehar,16113,15539.54,9360,3410.81,5395,5537.74,
Lohardaga,20055,25728.67,7662,2537.71,7117,7440.17,
Pakur,50648,30182.28,38097,13387.14,24212,15416.72,
Palamu,98111,65371.66,58564,21502.68,26538,23309.31,
Ramgarh,54402,66094.46,29148,10521.41,17112,20018.29,
Ranchi,258691,574358.42,68821,34736.78,80122,164661.35,
Sahibganj,54006,34506.77,37034,15499.28,21753,15278.10,
Seraikela-Kharsawan,52159,64512.11,18445,10024.18,15653,18678.78,
Simdega,16626,18140.73,5621,1957.80,6148,6078.16,
West Singhbhum,53545,58407.66,21116,7956.12,18596,18558.86,
