district,as_on_31st_december_2024_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances,col_17
Bokaro,,,3369,12623.46,3148,29572.09,5,9.86,5,6.83,25289,8738.58,166219,431166.13,46.33,
Chatra,,,242,755.46,163,1331.42,1,0.47,,,4355,1441.48,91948,97517.73,62.48,
Deoghar,,,1119,4325.93,1624,11213.69,,,5,2.57,15281,4885.93,157932,246595.28,56.40,
Dhanbad,1,1475.00,5466,19037.12,10032,88149.77,5,11.55,1,1.13,57447,20713.31,245117,720879.59,44.67,
Dumka,,,252,856.81,735,5846.65,6,2.00,35,30.94,16295,5900.13,125746,139995.66,60.34,
East Singhbhum,,,7782,35865.20,9604,75179.73,73,77.59,1,1.39,54442,19420.87,276388,1053085.69,42.22,
Garhwa,,,290,937.29,279,2375.61,12,19.00,8,2.49,12311,4455.81,117915,113663.00,64.81,
Giridih,25,7200.00,1068,3350.41,902,7104.89,13,11.20,2,3.59,28503,10145.93,220572,287254.40,56.48,
Godda,,,420,1373.87,1060,10206.21,1,0.21,39,3.80,10301,4020.53,117160,127522.18,59.91,
Gumla,,,368,1026.02,262,2332.66,2,0.16,1,8.73,5048,1616.51,78891,85530.32,61.11,
Hazaribagh,,,1468,5402.88,2174,17678.85,20,12.89,,,20245,8071.83,195684,375596.93,56.40,
Jamtara,,,402,674.02,332,2291.16,,,15,2.94,2686,714.31,68125,61648.31,59.72,
Khunti,,,177,573.05,231,2128.45,3,6.97,,,3433,946.82,50851,53979.18,49.96,
Koderma,,,572,1928.65,562,3982.48,1,0.23,,,9623,3057.62,86179,131731.03,62.83,
Latehar,,,203,543.93,184,1915.54,1,0.22,3,0.65,4340,1111.87,52756,67272.73,54.09,
Lohardaga,,,224,782.22,253,1985.29,,,,,5235,1794.75,53957,64639.52,60.88,
Pakur,,,113,308.50,386,3362.05,11,2.92,,,19488,6547.47,83757,93486.11,64.05,
Palamu,,,815,2648.65,751,6287.45,4,19.36,3,2.53,21215,8800.23,185851,202651.67,56.96,
Ramgarh,1,,1085,3774.90,888,8411.32,8,33.09,1,5.99,12788,4508.60,89797,181379.98,42.75,
Ranchi,5,69446.00,11770,55099.12,12161,141706.48,890,244.94,11,23.66,73930,27890.51,1296815,1931274.47,41.39,
Sahibganj,,,523,1239.32,530,4117.67,,,41,34.61,14358,5349.93,94399,95066.83,60.15,
Seraikela-Kharsawan,,,2117,6199.53,1465,10487.37,,,,,13112,4518.06,200979,287260.12,59.59,
Simdega,,,141,381.72,121,1026.06,1,0.25,,,2999,907.66,40074,42852.71,61.32,
West Singhbhum,2,,1464,6053.28,860,8032.81,2,0.32,,,12728,3892.79,122150,166402.61,34.12,
