district,as_on_31st_december_2024_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,total_advance_no,amt,col_16
Bokaro,704,231.78,120,2597.28,4412,77898.61,33810,87671.07,112297,331129.54,151343,499528.28,317562,930694.24,
Chatra,249,342.24,1,8.07,205,3348.09,5479,17176.73,16082,37728.18,22016,58603.30,113964,156082.15,
Deoghar,80,466.05,56,1288.30,1867,36979.65,14201,30714.41,47426,120852.64,63630,190301.05,221562,437200.43,
Dhanbad,656,597.28,137,2551.39,7528,91379.21,55587,169249.61,176734,629756.93,240642,893534.43,485759,1613735.39,
Dumka,84,189.70,6,128.87,339,7407.84,6457,13780.18,28945,70517.44,35831,92024.03,161577,232002.41,
East Singhbhum,637,449.80,1257,30377.63,14126,255540.17,69219,153634.33,286962,1000409.76,372201,1440411.68,648589,2494467.90,
Garhwa,639,141.98,2,63.73,194,3212.54,5770,12214.88,19359,46057.08,25964,61690.21,143879,175381.08,
Giridih,143,338.60,22,440.47,1001,19015.16,16470,30465.72,54228,170916.99,71864,221176.95,292436,508607.67,
Godda,182,266.74,4,58.52,342,5551.77,5379,11284.75,24240,69029.31,30147,86191.10,147307,212866.55,
Gumla,420,539.70,3,62.80,251,5498.41,4368,9639.54,13354,38730.73,18396,54471.20,97287,139954.00,
Hazaribagh,253,346.12,55,1162.48,2495,42437.63,20421,54551.19,83240,192130.46,106464,290627.89,302148,665902.27,
Jamtara,3,1.45,6,132.77,233,2851.17,3519,5379.29,12533,33248.40,16294,41613.09,84419,103235.48,
Khunti,64,33.02,6,97.22,207,4456.57,2969,6378.36,13114,43117.84,16360,54083.01,67211,108044.91,
Koderma,36,35.62,10,268.06,392,7724.55,6530,12821.31,27525,59962.25,34493,80811.80,120672,209675.84,
Latehar,51,321.92,2,32.06,125,2623.59,3398,9481.54,12936,44657.97,16512,57117.08,69268,124381.18,
Lohardaga,41,96.87,3,68.56,232,4680.13,2523,6292.49,12597,30434.59,15396,41572.63,69353,106181.91,
Pakur,,,5,65.08,344,5904.92,2438,4684.20,26982,41834.20,29769,52488.40,113526,145957.03,
Palamu,263,151.94,11,203.76,585,11717.54,12192,24181.98,47428,116858.48,60479,153113.71,246330,355757.95,
Ramgarh,113,116.72,31,796.52,1489,30604.03,16492,56708.31,47163,154730.61,65288,242956.19,155085,424314.57,
Ranchi,350,33304.97,870,16802.00,20670,459886.01,88061,251753.07,378519,1973562.57,488470,2735308.63,1785285,4666560.08,
Sahibganj,192,479.37,3,23.55,267,3751.00,5129,10124.92,21178,48608.52,26769,62987.36,121168,158036.91,
Seraikela-Kharsawan,48,44.85,62,932.40,1854,33239.09,13723,27535.79,39239,132939.53,54926,194691.66,255905,482030.50,
Simdega,26,94.55,4,46.81,100,1817.13,2464,6139.93,8660,18968.12,11254,27066.55,51328,69884.69,
West Singhbhum,125,143.27,35,676.06,869,15625.03,11142,26175.82,36135,278835.24,48306,321455.42,170456,487740.33,
