district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,total_accounts,amount,col_10
Bokaro,21272,8386.57,12852,14625.22,1096,7638.22,35220,30650.01,
Chatra,7623,2814.13,4642,4967.33,389,2785.41,12654,10566.87,
Deoghar,9472,3666.90,8594,11002.73,931,6911.47,18997,21581.10,
Dhanbad,42085,15150.47,22296,23985.67,1618,11580.08,65999,50716.22,
Dumka,16265,5529.56,9526,9303.65,377,2949.56,26168,17782.77,
East Singhbhum,37015,13008.68,23904,25426.91,1931,14290.55,62850,52726.13,
Garhwa,21425,7830.52,10645,10430.36,481,3587.64,32551,21848.52,
Giridih,64036,22667.28,33549,30687.72,1034,7851.69,98619,61206.69,
Godda,22289,7733.47,12731,12733.64,471,3515.11,35491,23982.22,
Gumla,16959,5535.03,6770,6055.72,260,1935.91,23989,13526.67,
Hazaribagh,25174,8872.24,18395,18983.70,1208,8701.81,44777,36557.75,
Jamtara,2447,805.88,1521,2568.96,200,1634.93,4168,5009.77,
Khunti,4106,1246.37,2517,2705.21,163,1126.39,6786,5077.97,
Koderma,12190,4453.81,11337,10980.50,532,3501.30,24059,18935.61,
Latehar,9368,3390.80,4980,5311.28,390,2908.21,14738,11610.29,
Lohardaga,4346,1521.90,2675,3094.75,293,2057.42,7314,6674.07,
Pakur,35746,11809.87,18241,14830.10,268,1794.59,54255,28434.55,
Palamu,25832,9434.46,16976,17292.02,782,6367.99,43590,33094.47,
Ramgarh,16860,6005.63,11463,11711.70,727,4835.35,29050,22552.68,
Ranchi,43791,17071.93,30043,34973.12,3124,22305.91,76958,74350.96,
Sahibganj,24593,8542.08,12342,12334.85,582,4009.15,37517,24886.08,
Seraikela-Kharsawan,8921,3134.69,5876,6389.41,481,3548.26,15278,13072.36,
Simdega,1590,548.09,1089,1482.82,183,1159.79,2862,3190.71,
West Singhbhum,12369,4233.61,6727,7522.85,512,3653.40,19608,15409.86,
