district,notices_issued_u_s_13_2_of_sarfaesi_act_no_of_a_cs,amount_in_lacs,out_of_which_symbolic_possession_taken_u_s_13_4_n_o_of_a_cs,amount_in_lacs,request_sent_to_dc_dm_cmm_for_assistance_in_physical_possession_ac,out_of_that_physical_possession_taken_ac,no_of_cases_pending_ac
Bokaro,1001,12946.38,116,6748.69,72,30,62
Chatra,10,88.97,5,43.18,2,0,2
Deoghar,24,1383.75,11,973.42,10,2,17
Dhanbad,246,9419.65,159,6381.97,95,18,93
Dumka,8,412.76,6,123.28,3,0,3
East Singhbhum,367,19516.12,250,15988.62,146,8,180
Garhwa,12,166.76,10,150.29,6,0,5
Giridih,759,3549.86,42,720.36,23,2,24
Godda,3,76.00,3,56.00,2,1,2
Gumla,21,270.45,13,154.27,9,1,9
Hazaribagh,94,1517.65,46,735.63,17,1,28
Jamtara,2,19.00,2,34.77,1,0,1
Khunti,6,102.27,3,71.00,2,0,1
Koderma,20,252.92,10,126.80,6,2,8
Latehar,11,140.07,7,93.60,6,0,2
Lohardaga,31,396.97,14,298.89,10,0,10
Pakur,17,155.74,13,126.13,4,0,7
Palamu,27,826.81,18,536.82,7,1,6
Ramgarh,41,2574.87,27,2071.24,21,1,22
Ranchi,440,43370.07,297,37779.77,127,11,131
Sahibganj,7,96.06,7,86.06,1,0,1
Simdega,8,41.26,3,40.26,1,0,1
West Singhbhum,26,690.00,17,491.61,8,1,11
