district,total_npa_under_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,msme_no,amt,other_psl_no,amt,total_psl_npa_no,amt,col_14
Bokaro,22576,11255,64,529,228,660,12093,34338,4604,946,39565,47727.85,
Chatra,22958,11359,12,63,59,97,2863,5382,991,278,26883,17178.68,
Deoghar,24476,10634,47,103,121,296,5439,7308,930,195,31013,18535.77,
Dhanbad,27155,14666,240,1227,394,1002,14189,28786,7000,1261,48978,46941.54,
Dumka,18850,7744,11,30,43,106,4360,4351,1370,279,24634,12509.53,
East Singhbhum,27976,14941,272,1955,459,1084,15483,48589,3822,961,48012,67530.43,
Garhwa,16959,9264,9,53,46,134,2422,2003,2555,901,21991,12354.43,
Giridih,38483,19518,27,77,204,497,8974,12010,3846,845,51534,32946.70,
Godda,18960,10222,7,49,44,134,3379,3641,1139,316,23529,14360.90,
Gumla,27279,11799,22,114,69,129,2702,3809,348,74,30420,15926.17,
Hazaribagh,32960,21070,116,651,222,634,8664,18214,2069,472,44031,41041.57,
Jamtara,10300,3897,5,20,22,58,1814,2171,80,11,12221,6155.87,
Khunti,11815,5037,8,53,25,51,1554,2114,399,112,13801,7366.25,
Koderma,16178,8479,60,318,70,142,3972,8751,2022,326,22302,18015.56,
Latehar,7110,3917,14,113,23,73,1051,1242,1268,285,9466,5629.30,
Lohardaga,16688,8880,13,93,52,159,1991,3243,233,69,18977,12444.35,
Pakur,11776,6022,5,12,17,34,2046,2141,963,206,14807,8414.92,
Palamu,27546,15627,23,115,141,435,5295,6661,3914,1449,36919,24286.39,
Ramgarh,12929,6035,35,137,90,266,6120,14071,2481,517,21655,21026.44,
Ranchi,44380,30701,229,2007,807,2322,19433,103303,5252,1373,70101,139705.96,
Sahibganj,14703,8964,8,30,69,156,3201,2995,1563,418,19544,12563.40,
Seraikela-Kharsawan,19879,10943,34,92,85,239,5178,9421,814,183,25990,20878.73,
Simdega,10474,4605,4,8,34,97,1684,2270,99,46,12295,7025.85,
West Singhbhum,23758,12849,38,289,144,349,5260,9636,1247,324,30447,23447.35,
