district,pmegp_outstanding_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstanding_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,978,3346.92,377,1028.16,30.72,120959,71050.15,25062,12640.87,17.79,196,3216.07,67,768.82,23.91,13518,32413.39,416,339.97,1.05
Chatra,540,1361.82,203,406.63,29.86,40219,23258.16,7164,3919.96,16.85,57,563.38,13,140.58,24.95,9974,22558.42,404,258.90,1.15
Deoghar,1013,2947.63,378,608.47,20.64,51156,39397.14,6242,4680.32,11.88,154,2159.31,18,248.22,11.50,9679,18252.69,587,560.04,3.07
Dhanbad,1484,4121.63,586,1408.27,34.17,203066,103374.42,33555,13560.43,13.12,299,4517.68,77,690.65,15.29,10343,23936.69,379,226.10,0.94
Dumka,1242,2527.13,392,596.67,23.61,60816,28669.65,9633,3631.10,12.67,75,1149.15,4,8.90,0.77,10253,21342.37,260,257.52,1.21
East Singhbhum,1373,5355.68,389,952.50,17.78,167623,103371.67,22775,14178.57,13.72,393,5478.48,89,1028.58,18.78,14405,40508.38,443,363.82,0.90
Garhwa,362,980.39,72,114.03,11.63,85237,34723.68,15756,4228.95,12.18,33,283.37,3,3.03,1.07,10826,18336.79,104,77.83,0.42
Giridih,1108,3148.81,331,631.86,20.07,254896,107209.92,32651,12120.01,11.30,103,1522.03,13,87.57,5.75,17926,41841.19,726,575.44,1.38
Godda,1053,2655.73,254,425.82,16.03,87960,40410.79,13986,5295.01,13.10,69,1079.28,11,95.21,8.82,9467,23097.50,236,241.26,1.04
Gumla,800,2134.79,206,457.55,21.43,46211,20745.91,3700,2379.55,11.47,45,542.28,9,61.61,11.36,7642,19701.16,520,500.76,2.54
Hazaribagh,1383,4398.34,453,1125.51,25.59,124528,75505.48,17065,10515.24,13.93,176,1931.53,56,319.52,16.54,16075,40983.94,412,303.43,0.74
Jamtara,562,1028.46,140,158.97,15.46,11417,9548.81,1861,1343.20,14.07,20,276.50,,0.02,0.01,6217,11686.02,203,307.88,2.63
Khunti,513,1055.99,143,223.93,21.21,17600,10523.60,1626,1307.13,12.42,25,259.77,1,0.01,0.01,5040,12889.40,120,151.76,1.18
Koderma,667,1640.75,224,490.85,29.92,69460,37690.15,9962,4690.91,12.45,79,750.97,26,158.51,21.11,6903,20593.79,222,212.82,1.03
Latehar,338,609.75,83,97.57,16.00,35979,17106.06,5894,1839.30,10.75,93,1211.73,1,0.01,0.00,7518,17873.27,178,115.57,0.65
Lohardaga,729,1499.87,245,350.65,23.38,21063,14662.69,2380,2229.23,15.20,31,256.07,4,18.11,7.07,4796,12812.82,336,513.62,4.01
Pakur,765,1639.48,193,356.75,21.76,112437,39088.77,10790,3026.90,7.74,34,538.26,3,13.87,2.58,7405,18660.68,272,242.17,1.30
Palamu,468,1369.91,178,340.62,24.86,124873,56619.30,19669,8354.24,14.76,102,1245.80,8,87.32,7.01,16683,31766.10,361,447.04,1.41
Ramgarh,597,2092.38,174,461.40,22.05,79885,44772.52,12837,6526.74,14.58,114,1082.63,26,200.90,18.56,6185,15227.24,230,287.53,1.89
Ranchi,1742,6024.58,711,1817.29,30.16,217600,160172.15,30514,22109.33,13.80,693,10432.24,158,1881.33,18.03,19512,54887.02,866,1448.02,2.64
Sahibganj,823,1977.56,201,349.79,17.69,91725,38895.41,13430,4217.73,10.84,44,666.76,2,0.70,0.10,9202,19816.40,182,144.38,0.73
Simdega,484,1080.87,166,308.60,28.55,11303,8362.60,1265,1331.95,15.93,28,219.63,5,29.56,13.46,5531,12792.58,181,154.64,1.21
West Singhbhum,654,1900.60,210,452.82,23.83,56668,37158.03,7887,4511.03,12.14,51,1475.05,10,46.56,3.16,11189,32640.71,223,195.68,0.60
