district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,72852,13305.19,16819,2470.54,44380,36969.56,7536,6688.47,3727,20775.40,707,3481.85,120959,71050,25062,12641
Chatra,24625,4711.60,4677,845.01,14258,11500.24,2306,2080.45,1336,7046.32,181,994.50,40219,23258,7164,3920
Deoghar,26111,5237.97,3106,652.98,22979,21426.45,2887,2906.57,2066,12732.72,249,1120.76,51156,39397,6242,4680
Dhanbad,130958,23565.07,24593,3408.13,67355,50855.81,8185,6402.69,4753,28953.54,777,3749.61,203066,103374,33555,13560
Dumka,36691,7291.31,6497,1032.23,23138,16090.53,2978,2084.88,987,5287.80,158,513.99,60816,28670,9633,3631
East Singhbhum,94646,17826.64,13416,2509.35,67635,53099.48,8515,7255.79,5342,32445.55,844,4413.43,167623,103372,22775,14179
Garhwa,53544,10924.48,12048,1977.43,30586,17498.86,3618,1823.80,1107,6300.35,90,427.72,85237,34724,15756,4229
Giridih,158999,30054.39,23586,3359.51,92676,58514.12,8640,6583.38,3221,18641.41,425,2177.12,254896,107210,32651,12120
Godda,52944,10316.24,9794,1492.49,33722,22714.14,4002,2912.38,1294,7380.41,190,890.15,87960,40411,13986,5295
Gumla,32285,5602.43,2313,413.68,12898,9915.85,1242,1285.74,1028,5227.64,145,680.13,46211,20746,3700,2380
Hazaribagh,69806,12998.27,10484,1725.00,50774,40008.17,5996,5901.05,3948,22499.03,585,2889.18,124528,75505,17065,10515
Jamtara,6333,986.41,899,164.65,4622,5791.02,908,963.31,462,2771.38,54,215.25,11417,9549,1861,1343
Khunti,10625,1432.08,821,207.71,6429,6026.73,748,806.78,546,3064.79,57,292.64,17600,10524,1626,1307
Koderma,37335,6488.96,6515,839.10,30504,21630.17,3186,2538.85,1621,9571.02,261,1312.97,69460,37690,9962,4691
Latehar,22000,4321.15,4271,688.49,13284,8604.72,1560,875.06,695,4180.19,63,275.76,35979,17106,5894,1839
Lohardaga,12352,1889.23,1110,209.93,7728,7526.17,1156,1430.55,983,5247.29,114,588.75,21063,14663,2380,2229
Pakur,68341,12509.68,7709,1042.67,43097,22459.52,2989,1653.95,999,4119.58,92,330.28,112437,39089,10790,3027
Palamu,71317,14717.07,13262,2720.42,51560,30532.30,6070,4129.60,1996,11369.94,337,1504.23,124873,56619,19669,8354
Ramgarh,45596,8351.71,8527,1337.47,32300,24668.07,4010,3551.26,1989,11752.75,300,1638.02,79885,44773,12837,6527
Ranchi,115890,23844.42,17003,3075.33,91524,79005.32,11992,10929.67,10186,57322.40,1519,8104.33,217600,160172,30514,22109
Sahibganj,55891,10363.14,9384,1298.82,34337,20705.28,3877,2138.46,1497,7826.99,169,780.46,91725,38895,13430,4218
Seraikela-Kharsawan,29614,4503.49,4827,644.26,17835,16726.54,2217,2176.67,1309,7767.64,192,1037.94,48758,28998,7236,3859
Simdega,7156,868.76,617,138.52,3587,4208.30,576,736.40,560,3285.54,72,457.03,11303,8363,1265,1332
West Singhbhum,33694,5552.56,5057,822.74,21517,22568.33,2601,2506.92,1457,9037.14,229,1181.36,56668,37158,7887,4511
