district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,27,36.07,516,255.69,452,259
Chatra,34,16.24,254,89.87,160,102
Deoghar,35,19.52,311,122.18,81,73
Dhanbad,353,396.66,4627,3698.64,4331,2650
Dumka,14,11.79,56,35.34,26,24
East Singhbhum,35,43.39,704,453.62,622,400
Garhwa,19,28.96,118,68.64,81,53
Giridih,41,46.25,470,278.68,399,313
Godda,68,36.77,242,95.53,95,86
Gumla,35,52.77,579,286.35,504,306
Hazaribagh,116,100.17,937,805.61,629,413
Jamtara,12,7.66,77,30.61,38,28
Khunti,24,20.85,546,159.28,404,315
Koderma,235,116.87,651,228.09,621,332
Latehar,39,15.94,294,108.86,76,60
Lohardaga,57,57.78,1046,388.08,929,772
Pakur,73,26.87,188,107.39,45,26
Palamu,22,32.89,202,162.45,67,48
Ramgarh,54,61.86,844,309.26,679,507
Ranchi,312,154.13,1216,610.33,503,423
Sahibganj,183,131.49,431,254.43,307,291
Seraikela-Kharsawan,40,35.34,111,94.96,95,83
Simdega,5,15.51,776,115.80,721,626
West Singhbhum,9,9.62,93,76.72,23,23
